cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
multi-peak-directional,Phoenix Valley -> Chicago,Jan,0.04294478527607362,0.0052,4% - 6%,1.0
winter-spring-peak,Phoenix Valley -> Dallas,Jan,0.07556675062972293,0.0091,6% - 9%,2.0
winter-spring-peak,Phoenix Valley -> Denver,Jan,0.1340782122905028,0.0161,12% - 15%,4.0
winter-spring-peak,Phoenix Valley -> Detroit,Jan,0.10714285714285714,0.0129,9% - 12%,3.0
multi-peak-directional,Phoenix Valley -> Houston,Jan,0.05325443786982249,0.0064,4% - 6%,1.0
multi-peak-directional,Phoenix Valley -> LA Basin,Jan,0.08743169398907104,0.0105,6% - 9%,2.0
winter-spring-peak,Phoenix Valley -> Minneapolis,Jan,0.08298755186721991,0.01,6% - 9%,2.0
multi-peak-directional,Phoenix Valley -> Nashville,Jan,0.07272727272727272,0.0087,6% - 9%,2.0
winter-spring-peak,Phoenix Valley -> North Florida,Jan,0.125,0.015,12% - 15%,4.0
multi-peak-directional,Phoenix Valley -> Pittsburgh,Jan,0.047619047619047616,0.0057,4% - 6%,1.0
winter-spring-peak,Phoenix Valley -> San Antonio,Jan,0.07246376811594203,0.0087,6% - 9%,2.0
multi-peak-directional,Phoenix Valley -> Seattle,Jan,0.0782312925170068,0.0094,6% - 9%,2.0
winter-spring-peak,Phoenix Valley -> South Florida,Jan,0.32608695652173914,0.0391,> 15%,5.0
winter-spring-peak,Phoenix Valley -> St. Louis,Jan,0.09282700421940929,0.0111,9% - 12%,3.0
core-utilization,Pittsburgh -> Atlanta,Jan,0.05714285714285714,0.0069,4% - 6%,1.0
summer-peak,Pittsburgh -> Boston,Jan,0.028985507246376812,0.0035,< 4%,0.0
multi-peak-directional,Pittsburgh -> Charlotte,Jan,0.034482758620689655,0.0041,< 4%,0.0
winter-spring-peak,Pittsburgh -> Chicago,Jan,0.10714285714285714,0.0129,9% - 12%,3.0
multi-peak-directional,Pittsburgh -> Dallas,Jan,0.11382113821138211,0.0137,9% - 12%,3.0
multi-peak-directional,Pittsburgh -> Denver,Jan,0.045454545454545456,0.0055,4% - 6%,1.0
multi-peak-directional,Pittsburgh -> Houston,Jan,0.07692307692307693,0.0092,6% - 9%,2.0
summer-peak,Pittsburgh -> Minneapolis,Jan,0.03821656050955414,0.0046,< 4%,0.0
winter-spring-peak,Pittsburgh -> Nashville,Jan,0.05128205128205128,0.0062,4% - 6%,1.0
core-utilization,Pittsburgh -> New York City,Jan,0.0,0.0,,
winter-spring-peak,Pittsburgh -> North Florida,Jan,0.09465020576131687,0.0114,9% - 12%,3.0
multi-peak-directional,Pittsburgh -> San Antonio,Jan,0.08333333333333333,0.01,6% - 9%,2.0
winter-spring-peak,Pittsburgh -> South Florida,Jan,0.09806835066864784,0.0118,9% - 12%,3.0
multi-peak-directional,Pittsburgh -> St. Louis,Jan,0.05228758169934641,0.0063,4% - 6%,1.0
multi-peak-directional,San Antonio -> Atlanta,Jan,0.038834951456310676,0.0047,< 4%,0.0
multi-peak-directional,San Antonio -> Bay Area,Jan,0.036585365853658534,0.0044,< 4%,0.0
core-utilization,San Antonio -> Boston,Jan,0.045454545454545456,0.0055,4% - 6%,1.0
multi-peak-directional,San Antonio -> Charlotte,Jan,0.036036036036036036,0.0043,< 4%,0.0
core-utilization,San Antonio -> Chicago,Jan,0.027777777777777776,0.0033,< 4%,0.0
multi-peak-directional,San Antonio -> DMV,Jan,0.08064516129032258,0.0097,6% - 9%,2.0
winter-spring-peak,San Antonio -> Dallas,Jan,0.13157894736842105,0.0158,12% - 15%,4.0
multi-peak-directional,San Antonio -> Denver,Jan,0.09153952843273232,0.011,9% - 12%,3.0
multi-peak-directional,San Antonio -> Detroit,Jan,0.109375,0.0131,9% - 12%,3.0
multi-peak-directional,San Antonio -> Houston,Jan,0.027777777777777776,0.0033,< 4%,0.0
winter-spring-peak,San Antonio -> LA Basin,Jan,0.10298102981029811,0.0124,9% - 12%,3.0
multi-peak-directional,San Antonio -> Minneapolis,Jan,0.0967741935483871,0.0116,9% - 12%,3.0
multi-peak-directional,San Antonio -> Nashville,Jan,0.05660377358490566,0.0068,4% - 6%,1.0
multi-peak-directional,San Antonio -> New York City,Jan,0.025,0.003,< 4%,0.0
winter-spring-peak,San Antonio -> North Florida,Jan,0.09693877551020408,0.0116,9% - 12%,3.0
multi-peak-directional,San Antonio -> Philadelphia,Jan,0.0967741935483871,0.0116,9% - 12%,3.0
winter-spring-peak,San Antonio -> Phoenix Valley,Jan,0.10424710424710425,0.0125,9% - 12%,3.0
core-utilization,San Antonio -> Pittsburgh,Jan,0.06666666666666667,0.008,6% - 9%,2.0
core-utilization,San Antonio -> Seattle,Jan,0.06060606060606061,0.0073,6% - 9%,2.0
winter-spring-peak,San Antonio -> South Florida,Jan,0.09701492537313433,0.0116,9% - 12%,3.0
multi-peak-directional,San Antonio -> St. Louis,Jan,0.08928571428571429,0.0107,6% - 9%,2.0
core-utilization,Seattle -> Atlanta,Jan,0.0,0.0,,
summer-peak,Seattle -> Bay Area,Jan,0.06808510638297872,0.0082,6% - 9%,2.0
summer-peak,Seattle -> Chicago,Jan,0.03488372093023256,0.0042,< 4%,0.0
summer-peak,Seattle -> Dallas,Jan,0.046875,0.0056,4% - 6%,1.0
summer-peak,Seattle -> Denver,Jan,0.06339468302658487,0.0076,6% - 9%,2.0
summer-peak,Seattle -> Detroit,Jan,0.08,0.0096,6% - 9%,2.0
core-utilization,Seattle -> Houston,Jan,0.0,0.0,,
multi-peak-directional,Seattle -> LA Basin,Jan,0.07326007326007326,0.0088,6% - 9%,2.0
summer-peak,Seattle -> Minneapolis,Jan,0.04697986577181208,0.0056,4% - 6%,1.0
