icao,cluster
03GA,ATLANTA_CLUSTER
03GE,ATLANTA_CLUSTER
03ID,JACKSON_HOLE_CLUSTER
03II,CHICAGO_CLUSTER
03IL,CHICAGO_CLUSTER
03IN,CHICAGO_CLUSTER
03IS,CHICAGO_CLUSTER
03KS,OTHER_CLUSTER
03KY,CHICAGO_CLUSTER
03LA,HOUSTON_CLUSTER
03LS,HOUSTON_CLUSTER
03MA,BOSTON_CLUSTER
03MD,WASHINGTON_DC_CLUSTER
03ME,BOSTON_CLUSTER
03MI,CHICAGO_CLUSTER
03MN,OTHER_CLUSTER
03MS,OTHER_CLUSTER
03MT,JACKSON_HOLE_CLUSTER
03MU,OTHER_CLUSTER
03NC,OTHER_CLUSTER
03ND,OTHER_CLUSTER
03NE,DENVER_CLUSTER
03NH,BOSTON_CLUSTER
03NM,DENVER_CLUSTER
03NR,WASHINGTON_DC_CLUSTER
03NV,LAS_VEGAS_CLUSTER
03NY,NEW_YORK_CLUSTER
03OH,CHICAGO_CLUSTER
03OI,WASHINGTON_DC_CLUSTER
03OK,DALLAS_CLUSTER
03OL,DALLAS_CLUSTER
03OR,SEATTLE_CLUSTER
03PA,NEW_YORK_CLUSTER
03PN,NEW_YORK_CLUSTER
03PR,OTHER_CLUSTER
03SC,OTHER_CLUSTER
03TE,HOUSTON_CLUSTER
03TN,ATLANTA_CLUSTER
03TS,DALLAS_CLUSTER
03TT,HOUSTON_CLUSTER
03TX,HOUSTON_CLUSTER
03UT,ASPEN_CLUSTER
03WA,SEATTLE_CLUSTER
03WN,SEATTLE_CLUSTER
03WT,SEATTLE_CLUSTER
03XA,OTHER_CLUSTER
03XS,DALLAS_CLUSTER
04AA,OTHER_CLUSTER
04AL,ATLANTA_CLUSTER
04AN,OTHER_CLUSTER
04AR,DALLAS_CLUSTER
04CA,LOS_ANGELES_CLUSTER
04CL,SAN_DIEGO_CLUSTER
04CT,NEW_YORK_CLUSTER
04FA,MIAMI_CLUSTER
04FD,ORLANDO_CLUSTER
04FL,ORLANDO_CLUSTER
04GA,ATLANTA_CLUSTER
04IA,CHICAGO_CLUSTER
04ID,JACKSON_HOLE_CLUSTER
04IL,CHICAGO_CLUSTER
04IN,CHICAGO_CLUSTER
04IS,CHICAGO_CLUSTER
04KY,ATLANTA_CLUSTER
04LA,HOUSTON_CLUSTER
04LS,HOUSTON_CLUSTER
04MA,BOSTON_CLUSTER
04MD,WASHINGTON_DC_CLUSTER
04ME,BOSTON_CLUSTER
04MI,CHICAGO_CLUSTER
04MN,OTHER_CLUSTER
04MS,OTHER_CLUSTER
04MT,OTHER_CLUSTER
04NC,WASHINGTON_DC_CLUSTER
04NE,DENVER_CLUSTER
04NJ,NEW_YORK_CLUSTER
04NR,WASHINGTON_DC_CLUSTER
04NV,LAS_VEGAS_CLUSTER
04NY,NEW_YORK_CLUSTER
04OG,SEATTLE_CLUSTER
04OK,DALLAS_CLUSTER
04OR,SEATTLE_CLUSTER
04PA,NEW_YORK_CLUSTER
04PN,NEW_YORK_CLUSTER
04SC,ATLANTA_CLUSTER
04SD,OTHER_CLUSTER
04TE,HOUSTON_CLUSTER
04TN,ATLANTA_CLUSTER
04TS,HOUSTON_CLUSTER
04TT,HOUSTON_CLUSTER
04TX,DALLAS_CLUSTER
04UT,LAS_VEGAS_CLUSTER
04VA,ATLANTA_CLUSTER
04VG,WASHINGTON_DC_CLUSTER
04VT,BOSTON_CLUSTER
04WA,SEATTLE_CLUSTER
04WI,CHICAGO_CLUSTER
04WN,SEATTLE_CLUSTER
04WV,WASHINGTON_DC_CLUSTER
04XA,DALLAS_CLUSTER
05AK,OTHER_CLUSTER
05AL,ATLANTA_CLUSTER
05AN,OTHER_CLUSTER
05AR,DALLAS_CLUSTER
05AZ,SAN_DIEGO_CLUSTER
05CA,LOS_ANGELES_CLUSTER
05CL,SAN_FRANCISCO_CLUSTER
05CO,DENVER_CLUSTER
05CT,NEW_YORK_CLUSTER
05FA,ATLANTA_CLUSTER
05FD,MIAMI_CLUSTER
05FL,MIAMI_CLUSTER
05GA,ATLANTA_CLUSTER
05IA,CHICAGO_CLUSTER
05ID,JACKSON_HOLE_CLUSTER
05IL,CHICAGO_CLUSTER
05IN,CHICAGO_CLUSTER
05IS,CHICAGO_CLUSTER
05KS,DALLAS_CLUSTER
05KT,CHICAGO_CLUSTER
05KY,ATLANTA_CLUSTER
05LA,HOUSTON_CLUSTER
05LL,CHICAGO_CLUSTER
05LS,HOUSTON_CLUSTER
05MA,BOSTON_CLUSTER
05MD,WASHINGTON_DC_CLUSTER
05ME,BOSTON_CLUSTER
05MI,CHICAGO_CLUSTER
05MN,OTHER_CLUSTER
05MS,OTHER_CLUSTER
05MT,JACKSON_HOLE_CLUSTER
05NE,OTHER_CLUSTER
05NH,BOSTON_CLUSTER
05NJ,NEW_YORK_CLUSTER
05NR,WASHINGTON_DC_CLUSTER
05NV,LAS_VEGAS_CLUSTER
05NY,NEW_YORK_CLUSTER
05OG,SEATTLE_CLUSTER
05OH,WASHINGTON_DC_CLUSTER
05OI,CHICAGO_CLUSTER
05OR,SEATTLE_CLUSTER
05PA,NEW_YORK_CLUSTER
05PN,WASHINGTON_DC_CLUSTER
05PS,WASHINGTON_DC_CLUSTER
05TA,HOUSTON_CLUSTER
05TE,DALLAS_CLUSTER
05TS,DALLAS_CLUSTER
05TX,DALLAS_CLUSTER
05VA,WASHINGTON_DC_CLUSTER
05VT,BOSTON_CLUSTER
05WA,SEATTLE_CLUSTER
05WI,CHICAGO_CLUSTER
05WN,SEATTLE_CLUSTER
05XA,DENVER_CLUSTER
05XS,OTHER_CLUSTER
06AA,OTHER_CLUSTER
06AK,OTHER_CLUSTER
06AL,ATLANTA_CLUSTER
06AR,OTHER_CLUSTER
06AZ,PHOENIX_CLUSTER
06CA,LOS_ANGELES_CLUSTER
06CL,LOS_ANGELES_CLUSTER
06CO,DENVER_CLUSTER
06FA,MIAMI_CLUSTER
06FD,ORLANDO_CLUSTER
06FL,ORLANDO_CLUSTER
06GA,ATLANTA_CLUSTER
06IA,CHICAGO_CLUSTER
06ID,JACKSON_HOLE_CLUSTER
06IL,CHICAGO_CLUSTER
06IS,CHICAGO_CLUSTER
06KS,OTHER_CLUSTER
06LA,OTHER_CLUSTER
06LS,HOUSTON_CLUSTER
06MA,BOSTON_CLUSTER
06MD,WASHINGTON_DC_CLUSTER
06ME,BOSTON_CLUSTER
06MI,CHICAGO_CLUSTER
06MO,OTHER_CLUSTER
06MT,OTHER_CLUSTER
06NC,WASHINGTON_DC_CLUSTER
06ND,OTHER_CLUSTER
06NE,OTHER_CLUSTER
06NH,BOSTON_CLUSTER
06NV,LAS_VEGAS_CLUSTER
06NY,NEW_YORK_CLUSTER
06O1,WASHINGTON_DC_CLUSTER
06OH,WASHINGTON_DC_CLUSTER
06OI,CHICAGO_CLUSTER
06OK,DALLAS_CLUSTER
06OR,SEATTLE_CLUSTER
06PA,WASHINGTON_DC_CLUSTER
06PN,WASHINGTON_DC_CLUSTER
06PS,WASHINGTON_DC_CLUSTER
06TA,HOUSTON_CLUSTER
06TE,HOUSTON_CLUSTER
06TN,ATLANTA_CLUSTER
06TT,DALLAS_CLUSTER
06TX,HOUSTON_CLUSTER
06VA,WASHINGTON_DC_CLUSTER
06WA,SEATTLE_CLUSTER
06WN,SEATTLE_CLUSTER
06XA,DALLAS_CLUSTER
06XS,DALLAS_CLUSTER
07AA,OTHER_CLUSTER
07AL,ATLANTA_CLUSTER
07AN,OTHER_CLUSTER
07AR,DALLAS_CLUSTER
07CL,SAN_FRANCISCO_CLUSTER
07CO,DENVER_CLUSTER
07FA,MIAMI_CLUSTER
07GA,ATLANTA_CLUSTER
07GE,ATLANTA_CLUSTER
07IA,OTHER_CLUSTER
07II,CHICAGO_CLUSTER
07IN,CHICAGO_CLUSTER
07KS,OTHER_CLUSTER
07KY,CHICAGO_CLUSTER
07LS,HOUSTON_CLUSTER
07MA,BOSTON_CLUSTER
07MD,WASHINGTON_DC_CLUSTER
07ME,BOSTON_CLUSTER
07MI,CHICAGO_CLUSTER
07MN,OTHER_CLUSTER
07MO,OTHER_CLUSTER
07MT,OTHER_CLUSTER
07NC,ATLANTA_CLUSTER
07NH,BOSTON_CLUSTER
07NJ,NEW_YORK_CLUSTER
07NV,LAS_VEGAS_CLUSTER
07NY,NEW_YORK_CLUSTER
07OK,DALLAS_CLUSTER
07OR,SEATTLE_CLUSTER
07PN,WASHINGTON_DC_CLUSTER
07PR,SAN_JUAN_CLUSTER
07TA,HOUSTON_CLUSTER
07TE,HOUSTON_CLUSTER
07TS,HOUSTON_CLUSTER
07TX,DALLAS_CLUSTER
07UT,JACKSON_HOLE_CLUSTER
07VA,WASHINGTON_DC_CLUSTER
07VT,BOSTON_CLUSTER
07WA,SEATTLE_CLUSTER
07WY,JACKSON_HOLE_CLUSTER
07XA,HOUSTON_CLUSTER
07XS,DALLAS_CLUSTER
08AK,OTHER_CLUSTER
08AL,ATLANTA_CLUSTER
08AN,OTHER_CLUSTER
08AZ,PHOENIX_CLUSTER
08CA,SAN_FRANCISCO_CLUSTER
08CL,SAN_FRANCISCO_CLUSTER
08CN,LOS_ANGELES_CLUSTER
08CO,DENVER_CLUSTER
08CT,NEW_YORK_CLUSTER
08FA,MIAMI_CLUSTER
08FD,ORLANDO_CLUSTER
08FL,ORLANDO_CLUSTER
08GA,ORLANDO_CLUSTER
08GE,ATLANTA_CLUSTER
08ID,JACKSON_HOLE_CLUSTER
08II,CHICAGO_CLUSTER
08IN,CHICAGO_CLUSTER
08IS,CHICAGO_CLUSTER
08KS,OTHER_CLUSTER
08KT,CHICAGO_CLUSTER
08KY,ATLANTA_CLUSTER
08LA,HOUSTON_CLUSTER
08LL,CHICAGO_CLUSTER
08LS,HOUSTON_CLUSTER
08MA,BOSTON_CLUSTER
08MD,WASHINGTON_DC_CLUSTER
08ME,BOSTON_CLUSTER
08MI,CHICAGO_CLUSTER
08MN,OTHER_CLUSTER
08MO,OTHER_CLUSTER
08MS,OTHER_CLUSTER
08MT,JACKSON_HOLE_CLUSTER
08NC,WASHINGTON_DC_CLUSTER
08ND,OTHER_CLUSTER
08NE,OTHER_CLUSTER
08NH,BOSTON_CLUSTER
08NJ,NEW_YORK_CLUSTER
08NR,ATLANTA_CLUSTER
08NY,NEW_YORK_CLUSTER
08OH,WASHINGTON_DC_CLUSTER
08OK,DALLAS_CLUSTER
08OL,DALLAS_CLUSTER
08OR,OTHER_CLUSTER
08PA,NEW_YORK_CLUSTER
08PN,WASHINGTON_DC_CLUSTER
08SD,OTHER_CLUSTER
08TA,HOUSTON_CLUSTER
08TN,ATLANTA_CLUSTER
08TT,DALLAS_CLUSTER
08TX,DALLAS_CLUSTER
08UT,ASPEN_CLUSTER
08VA,WASHINGTON_DC_CLUSTER
08XA,HOUSTON_CLUSTER
08XS,HOUSTON_CLUSTER
09AA,OTHER_CLUSTER
09AK,OTHER_CLUSTER
09AL,ATLANTA_CLUSTER
09AR,DALLAS_CLUSTER
09AZ,PHOENIX_CLUSTER
09CA,SAN_FRANCISCO_CLUSTER
09CL,SAN_FRANCISCO_CLUSTER
09CN,LOS_ANGELES_CLUSTER
09CO,DENVER_CLUSTER
09FA,ORLANDO_CLUSTER
09FD,ORLANDO_CLUSTER
09FL,MIAMI_CLUSTER
09GA,ATLANTA_CLUSTER
09IA,CHICAGO_CLUSTER
09ID,JACKSON_HOLE_CLUSTER
09II,CHICAGO_CLUSTER
09IN,CHICAGO_CLUSTER
09IS,CHICAGO_CLUSTER
09KS,OTHER_CLUSTER
09KY,CHICAGO_CLUSTER
09LA,HOUSTON_CLUSTER
09LL,CHICAGO_CLUSTER
09LS,HOUSTON_CLUSTER
09MA,BOSTON_CLUSTER
09MD,WASHINGTON_DC_CLUSTER
09ME,BOSTON_CLUSTER
09MI,CHICAGO_CLUSTER
09MO,OTHER_CLUSTER
09MT,JACKSON_HOLE_CLUSTER
09NC,WASHINGTON_DC_CLUSTER
09NE,OTHER_CLUSTER
09NJ,NEW_YORK_CLUSTER
09NR,WASHINGTON_DC_CLUSTER
09NV,LAS_VEGAS_CLUSTER
09NY,NEW_YORK_CLUSTER
09OH,CHICAGO_CLUSTER
09OK,DALLAS_CLUSTER
09OR,SEATTLE_CLUSTER
09PA,WASHINGTON_DC_CLUSTER
09PN,NEW_YORK_CLUSTER
09TA,DALLAS_CLUSTER
09TE,DALLAS_CLUSTER
09TN,ATLANTA_CLUSTER
09TS,OTHER_CLUSTER
09TX,OTHER_CLUSTER
09VA,WASHINGTON_DC_CLUSTER
09VG,WASHINGTON_DC_CLUSTER
09WA,SEATTLE_CLUSTER
09WI,CHICAGO_CLUSTER
09XS,HOUSTON_CLUSTER
0AA6,OTHER_CLUSTER
0AA7,OTHER_CLUSTER
0AK0,OTHER_CLUSTER
0AK1,OTHER_CLUSTER
0AK2,OTHER_CLUSTER
0AK3,OTHER_CLUSTER
0AK5,OTHER_CLUSTER
0AK6,OTHER_CLUSTER
0AK7,OTHER_CLUSTER
0AK9,OTHER_CLUSTER
0AL0,ATLANTA_CLUSTER
0AL1,ATLANTA_CLUSTER
0AL2,ATLANTA_CLUSTER
0AL3,ATLANTA_CLUSTER
0AL4,ATLANTA_CLUSTER
0AL5,ATLANTA_CLUSTER
0AL6,ATLANTA_CLUSTER
0AL7,ATLANTA_CLUSTER
0AL8,ATLANTA_CLUSTER
0AL9,ATLANTA_CLUSTER
0AR0,DALLAS_CLUSTER
0AR2,OTHER_CLUSTER
0AR4,DALLAS_CLUSTER
0AR5,OTHER_CLUSTER
0AR6,DALLAS_CLUSTER
0AR8,DALLAS_CLUSTER
0AR9,DALLAS_CLUSTER
0AZ0,PHOENIX_CLUSTER
0AZ2,PHOENIX_CLUSTER
0AZ4,PHOENIX_CLUSTER
0AZ5,PHOENIX_CLUSTER
0AZ6,PHOENIX_CLUSTER
0CA2,LOS_ANGELES_CLUSTER
0CA3,LOS_ANGELES_CLUSTER
0CA4,LOS_ANGELES_CLUSTER
0CA5,SAN_DIEGO_CLUSTER
0CA6,SAN_DIEGO_CLUSTER
0CA9,LOS_ANGELES_CLUSTER
0CD0,ASPEN_CLUSTER
0CD1,DENVER_CLUSTER
0CD2,DENVER_CLUSTER
0CD4,DENVER_CLUSTER
0CD5,DENVER_CLUSTER
0CD6,DENVER_CLUSTER
0CD7,DENVER_CLUSTER
0CD8,DENVER_CLUSTER
0CD9,DENVER_CLUSTER
0CL0,SAN_FRANCISCO_CLUSTER
0CL1,LOS_ANGELES_CLUSTER
0CL3,SAN_DIEGO_CLUSTER
0CL4,LOS_ANGELES_CLUSTER
0CL5,LOS_ANGELES_CLUSTER
0CL6,LOS_ANGELES_CLUSTER
0CL7,LOS_ANGELES_CLUSTER
0CL8,LOS_ANGELES_CLUSTER
0CL9,LOS_ANGELES_CLUSTER
0CN1,SAN_FRANCISCO_CLUSTER
0CN2,SAN_FRANCISCO_CLUSTER
0CO0,DENVER_CLUSTER
0CO1,DENVER_CLUSTER
0CO2,ASPEN_CLUSTER
0CO4,DENVER_CLUSTER
0CO6,ASPEN_CLUSTER
0CO7,DENVER_CLUSTER
0CO8,DENVER_CLUSTER
0CO9,ASPEN_CLUSTER
0CT0,NEW_YORK_CLUSTER
0CT1,NEW_YORK_CLUSTER
0CT2,BOSTON_CLUSTER
0CT3,NEW_YORK_CLUSTER
0CT4,NEW_YORK_CLUSTER
0CT5,BOSTON_CLUSTER
0CT6,NEW_YORK_CLUSTER
0CT7,NEW_YORK_CLUSTER
0CT8,NEW_YORK_CLUSTER
0CT9,BOSTON_CLUSTER
0FA0,MIAMI_CLUSTER
0FA1,ORLANDO_CLUSTER
0FA2,ORLANDO_CLUSTER
0FA3,ORLANDO_CLUSTER
0FA5,ORLANDO_CLUSTER
0FA6,MIAMI_CLUSTER
0FD0,ORLANDO_CLUSTER
0FD1,ATLANTA_CLUSTER
0FD2,MIAMI_CLUSTER
0FD3,ATLANTA_CLUSTER
0FD5,ATLANTA_CLUSTER
0FD6,ORLANDO_CLUSTER
0FD9,ATLANTA_CLUSTER
0FL0,MIAMI_CLUSTER
0FL1,ORLANDO_CLUSTER
0FL2,ORLANDO_CLUSTER
0FL3,ORLANDO_CLUSTER
0FL4,ATLANTA_CLUSTER
0FL5,ORLANDO_CLUSTER
0FL6,ORLANDO_CLUSTER
0FL7,ORLANDO_CLUSTER
0FL8,ORLANDO_CLUSTER
0FL9,MIAMI_CLUSTER
0GA0,ATLANTA_CLUSTER
0GA1,ATLANTA_CLUSTER
0GA2,ATLANTA_CLUSTER
0GA3,ATLANTA_CLUSTER
0GA4,ATLANTA_CLUSTER
0GA5,ATLANTA_CLUSTER
0GA6,ATLANTA_CLUSTER
0GA8,ATLANTA_CLUSTER
0GA9,ATLANTA_CLUSTER
0GE0,ATLANTA_CLUSTER
0GE1,ATLANTA_CLUSTER
0GE3,ATLANTA_CLUSTER
0GE4,ATLANTA_CLUSTER
0GE5,ATLANTA_CLUSTER
0GE7,ATLANTA_CLUSTER
0GE9,ATLANTA_CLUSTER
0IA0,CHICAGO_CLUSTER
0IA1,OTHER_CLUSTER
0IA2,OTHER_CLUSTER
0IA4,CHICAGO_CLUSTER
0IA5,CHICAGO_CLUSTER
0IA7,OTHER_CLUSTER
0IA8,CHICAGO_CLUSTER
0IA9,CHICAGO_CLUSTER
0ID0,JACKSON_HOLE_CLUSTER
0ID1,JACKSON_HOLE_CLUSTER
0ID2,JACKSON_HOLE_CLUSTER
0ID3,JACKSON_HOLE_CLUSTER
0ID4,JACKSON_HOLE_CLUSTER
0ID5,JACKSON_HOLE_CLUSTER
0ID6,JACKSON_HOLE_CLUSTER
0ID7,JACKSON_HOLE_CLUSTER
0ID8,JACKSON_HOLE_CLUSTER
0ID9,SEATTLE_CLUSTER
0II0,CHICAGO_CLUSTER
0II2,CHICAGO_CLUSTER
0II5,CHICAGO_CLUSTER
0II7,CHICAGO_CLUSTER
0II8,CHICAGO_CLUSTER
0II9,CHICAGO_CLUSTER
0IL0,CHICAGO_CLUSTER
0IL1,CHICAGO_CLUSTER
0IL2,CHICAGO_CLUSTER
0IL4,CHICAGO_CLUSTER
0IL5,CHICAGO_CLUSTER
0IL6,CHICAGO_CLUSTER
0IL7,CHICAGO_CLUSTER
0IL8,CHICAGO_CLUSTER
0IL9,CHICAGO_CLUSTER
0IN1,CHICAGO_CLUSTER
0IN2,CHICAGO_CLUSTER
0IN4,CHICAGO_CLUSTER
0IN5,CHICAGO_CLUSTER
0IN9,CHICAGO_CLUSTER
0IS0,CHICAGO_CLUSTER
0IS2,CHICAGO_CLUSTER
0IS3,CHICAGO_CLUSTER
0IS6,OTHER_CLUSTER
0IS8,CHICAGO_CLUSTER
0IS9,CHICAGO_CLUSTER
0JY9,OTHER_CLUSTER
0KS0,OTHER_CLUSTER
0KS4,OTHER_CLUSTER
0KS5,OTHER_CLUSTER
0KS7,OTHER_CLUSTER
0KS8,OTHER_CLUSTER
0KS9,OTHER_CLUSTER
0KY0,CHICAGO_CLUSTER
0KY1,ATLANTA_CLUSTER
0KY4,CHICAGO_CLUSTER
0KY5,ATLANTA_CLUSTER
0KY7,OTHER_CLUSTER
0LA0,HOUSTON_CLUSTER
0LA1,HOUSTON_CLUSTER
0LA3,DALLAS_CLUSTER
0LA4,DALLAS_CLUSTER
0LA5,OTHER_CLUSTER
0LA7,OTHER_CLUSTER
0LA8,HOUSTON_CLUSTER
0LA9,HOUSTON_CLUSTER
0LL0,CHICAGO_CLUSTER
0LL1,CHICAGO_CLUSTER
0LL2,CHICAGO_CLUSTER
0LL3,CHICAGO_CLUSTER
0LL4,CHICAGO_CLUSTER
0LL5,CHICAGO_CLUSTER
0LL6,CHICAGO_CLUSTER
0LL7,CHICAGO_CLUSTER
0LS0,HOUSTON_CLUSTER
0LS3,OTHER_CLUSTER
0LS5,HOUSTON_CLUSTER
0LS6,HOUSTON_CLUSTER
0LS7,HOUSTON_CLUSTER
0LS8,HOUSTON_CLUSTER
0LS9,HOUSTON_CLUSTER
0MA1,BOSTON_CLUSTER
0MA2,BOSTON_CLUSTER
0MA3,BOSTON_CLUSTER
0MA4,BOSTON_CLUSTER
0MA5,BOSTON_CLUSTER
0MA6,BOSTON_CLUSTER
0MA9,BOSTON_CLUSTER
0MD0,WASHINGTON_DC_CLUSTER
0MD1,WASHINGTON_DC_CLUSTER
0MD2,WASHINGTON_DC_CLUSTER
0MD4,WASHINGTON_DC_CLUSTER
0MD6,WASHINGTON_DC_CLUSTER
0MD7,WASHINGTON_DC_CLUSTER
0MD8,WASHINGTON_DC_CLUSTER
0MD9,WASHINGTON_DC_CLUSTER
0ME4,BOSTON_CLUSTER
0ME7,BOSTON_CLUSTER
0MI1,CHICAGO_CLUSTER
0MI3,CHICAGO_CLUSTER
0MI4,CHICAGO_CLUSTER
0MI6,OTHER_CLUSTER
0MI7,CHICAGO_CLUSTER
0MI8,CHICAGO_CLUSTER
