cluster_label,corridor
core-utilization,Denver -> Nashville
core-utilization,Denver -> Nashville
core-utilization,Denver -> Nashville
core-utilization,Denver -> Nashville
core-utilization,Denver -> Nashville
core-utilization,Denver -> Nashville
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> New York City
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Philadelphia
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> Pittsburgh
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> San Antonio
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
