cluster_label,corridor
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Dallas -> South Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> North Florida
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> Phoenix Valley
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Denver -> South Florida
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> Phoenix Valley
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Detroit -> South Florida
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> Dallas
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> LA Basin
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
