Jackson->SCOTTSDALE
ORLANDO->CHARLOTTESVILLE
Minneapolis->SCOTTSDALE
SANTA ANA->SALT LAKE CITY
Washington->Philadelphia
Jackson->Pittsburgh
EAGLE->San Diego
BRUNSWICK->Bedford
Charlotte->Washington
BOZEMAN->Reno
Dallas->Chicago
Lafayette->Corpus Christi
DESTIN->Chicago
NEW BRAUNFELS->FORT WORTH
KALISPELL->Midland
LUBBOCK->Key West
FORT LAUDERDALE->Nashville
New Orleans->TELLURIDE
Miami->GAINESVILLE
Phoenix->CARLSBAD
Louisville->FORT LAUDERDALE
Houston->Denver
SALT LAKE CITY->Islip
Philadelphia->EAGLE
Tampa->SCOTTSDALE
Norfolk->Philadelphia
Mansfield->Knoxville
Knoxville->Chicago Romeoville
Nashville->Hilton Head Island
WEST PALM BEACH->GRANBURY
LAKE CHARLES->El Paso
Akron->Pensacola
FORT PIERCE->El Reno
San Antonio->Houston
PALM SPRINGS->Reno
Stockton->CARLSBAD
TRUCKEE->Los Angeles
EAGLE->Jackson
WESTHAMPTON BEACH->Miami
Minneapolis->Chicago
Denver->KANSAS CITY
Dallas->ASPEN
Hayden->Pontiac
Savannah->Madison
Wilmington->WINSTON SALEM
STUART->RICHMOND
Saginaw->Columbus
WATERVILLE->Cleveland
Charlotte->CLARKSBURG
SMYRNA->STAUNTON
Chicago->MUSCLE SHOALS
BOCA RATON->Dayton
Austin->FORT LAUDERDALE
San Diego->Austin
Philadelphia->Middletown
Augusta->ORLANDO
ORLANDO->FORT LAUDERDALE
Tampa->St Louis
Phoenix->Colorado Springs
Houston->EUGENE
Denver->PALM SPRINGS
SANTA ANA->OAKLAND
Charleston->Youngstown
SALT LAKE CITY->Oklahoma City
Dayton->FORT LAUDERDALE
SALT LAKE CITY->Santa Rosa
Birmingham->EUGENE
CEDAR RAPIDS->Atlanta
Phoenix->TULSA
Washington->Miami
WEST PALM BEACH->Jacksonville
Buffalo->Sarasota Bradenton
BOZEMAN->Nashville
Sarasota Bradenton->Jacksonville
Dallas->Bedford
Chicago->Miami
Tampa->CLEMSON
Las Vegas->Nashville
NAPLES->Atlanta
EAGLE->Louisville
ONTARIO->COLLEGE STATION
MONTROSE->Houston
REDMOND->PALM SPRINGS
Denver->San Diego
Teterboro->Portland
Teterboro->Pontiac
PROVO->Teterboro
Philadelphia->SANTA ANA
Nashville->Washington
Memphis->Quincy
MUSCLE SHOALS->Dallas
Washington->WEST PALM BEACH
Auburn->Wichita
Charleston->WHITE PLAINS
Charleston->Pittsburgh
BALTIMORE->Atlanta
MARATHON->Greensboro
Philadelphia->VERO BEACH
VERO BEACH->Tampa
Cleveland->FORT MYERS
Columbus->FERNANDINA BEACH
FERNANDINA BEACH->TALLAHASSEE
Charleston->New Orleans
Hilton Head Island->Greenville
FORT LAUDERDALE->Hilton Head Island
Charlotte->READING
Knoxville->Columbia
Greensboro->VERO BEACH
Atlanta->Dayton
Valdosta->Nashville
CHARLOTTESVILLE->Savannah
