corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Chicago -> Seattle,4.82,3.61,3.61,9.64,7.23,4.82,10.84,15.66,9.64,18.07,4.82,7.23,2,core-utilization,41.5
Nashville -> DMV,2.47,2.47,8.64,9.88,2.47,8.64,8.64,18.52,14.81,12.35,7.41,3.7,2,core-utilization,40.5
Minneapolis -> Bay Area,4.11,8.22,5.48,4.11,12.33,5.48,5.48,10.96,13.7,15.07,6.85,8.22,2,core-utilization,36.5
Chicago -> LA Basin,2.82,4.23,9.86,5.63,11.27,9.86,2.82,9.86,14.08,9.86,15.49,4.23,2,core-utilization,35.5
Pittsburgh -> Atlanta,5.71,8.57,5.71,14.29,5.71,8.57,7.14,8.57,14.29,17.14,2.86,1.43,2,core-utilization,35.0
Boston -> Dallas,4.35,7.25,7.25,4.35,7.25,5.8,7.25,15.94,15.94,14.49,5.8,4.35,2,core-utilization,34.5
Houston -> Boston,3.28,9.84,1.64,4.92,8.2,19.67,6.56,6.56,9.84,14.75,9.84,4.92,2,core-utilization,30.5
St. Louis -> Bay Area,1.69,6.78,10.17,8.47,8.47,8.47,8.47,20.34,10.17,15.25,0.0,1.69,2,core-utilization,29.5
Minneapolis -> Detroit,3.45,5.17,5.17,5.17,13.79,5.17,10.34,15.52,12.07,12.07,12.07,0.0,2,core-utilization,29.0
Minneapolis -> Philadelphia,1.72,1.72,6.9,8.62,15.52,12.07,5.17,15.52,8.62,13.79,8.62,1.72,2,core-utilization,29.0
Atlanta -> Pittsburgh,8.0,4.0,4.0,2.0,6.0,20.0,4.0,10.0,10.0,18.0,4.0,10.0,2,core-utilization,25.0
DMV -> San Antonio,2.04,12.24,0.0,10.2,10.2,16.33,4.08,6.12,10.2,12.24,10.2,6.12,2,core-utilization,24.5
Boston -> Houston,10.64,8.51,2.13,6.38,2.13,12.77,6.38,10.64,6.38,14.89,10.64,8.51,2,core-utilization,23.5
Detroit -> San Antonio,4.26,0.0,10.64,12.77,8.51,4.26,0.0,10.64,14.89,12.77,17.02,4.26,2,core-utilization,23.5
LA Basin -> Detroit,2.17,8.7,4.35,6.52,17.39,15.22,6.52,8.7,8.7,8.7,6.52,6.52,2,core-utilization,23.0
Bay Area -> Chicago,2.38,9.52,9.52,2.38,2.38,7.14,7.14,11.9,11.9,14.29,14.29,7.14,2,core-utilization,21.0
New York City -> San Antonio,0.0,0.0,7.32,0.0,12.2,9.76,2.44,19.51,14.63,21.95,9.76,2.44,2,core-utilization,20.5
St. Louis -> Chicago,7.89,0.0,2.63,5.26,18.42,18.42,7.89,10.53,10.53,10.53,5.26,2.63,2,core-utilization,19.0
DMV -> Boston,2.7,10.81,0.0,8.11,5.41,10.81,10.81,18.92,10.81,21.62,0.0,0.0,2,core-utilization,18.5
Charlotte -> Philadelphia,0.0,0.0,5.88,14.71,5.88,26.47,2.94,2.94,20.59,2.94,11.76,5.88,2,core-utilization,17.0
San Antonio -> Seattle,6.06,6.06,9.09,3.03,6.06,6.06,9.09,12.12,15.15,12.12,9.09,6.06,2,core-utilization,16.5
San Antonio -> Pittsburgh,6.67,0.0,13.33,10.0,3.33,6.67,3.33,20.0,3.33,20.0,10.0,3.33,2,core-utilization,15.0
Charlotte -> Pittsburgh,0.0,3.45,0.0,20.69,13.79,13.79,3.45,10.34,3.45,20.69,3.45,6.9,2,core-utilization,14.5
Pittsburgh -> New York City,0.0,0.0,3.57,14.29,7.14,10.71,10.71,7.14,14.29,21.43,10.71,0.0,2,core-utilization,14.0
Houston -> Bay Area,4.0,8.0,4.0,4.0,8.0,8.0,4.0,16.0,8.0,16.0,20.0,0.0,2,core-utilization,12.5
Seattle -> Houston,0.0,4.17,0.0,4.17,16.67,8.33,8.33,12.5,8.33,12.5,16.67,8.33,2,core-utilization,12.0
New York City -> Boston,0.0,0.0,0.0,21.74,13.04,26.09,4.35,13.04,4.35,0.0,8.7,8.7,2,core-utilization,11.5
San Antonio -> Boston,4.55,0.0,13.64,4.55,0.0,18.18,4.55,4.55,18.18,13.64,13.64,4.55,2,core-utilization,11.0
Seattle -> Atlanta,0.0,4.76,4.76,0.0,14.29,4.76,9.52,4.76,28.57,0.0,28.57,0.0,2,core-utilization,10.5
Denver -> LA Basin,8.57,8.44,12.57,7.15,6.14,7.35,8.24,10.59,7.27,8.28,7.52,7.88,3,multi-peak-directional,1237.5
LA Basin -> Denver,10.0,9.08,10.71,6.89,6.48,6.53,9.44,10.61,6.84,6.94,6.94,9.54,3,multi-peak-directional,980.0
Dallas -> Denver,9.99,8.03,9.23,5.13,5.19,8.68,11.85,9.83,8.79,8.08,6.12,9.07,3,multi-peak-directional,915.5
Denver -> Bay Area,8.89,10.05,8.34,5.54,6.97,8.75,9.84,11.0,8.27,8.95,4.99,8.41,3,multi-peak-directional,731.5
Seattle -> LA Basin,7.33,7.14,9.34,6.68,7.33,9.07,9.52,9.34,8.7,9.34,7.88,8.33,3,multi-peak-directional,546.0
LA Basin -> Seattle,7.86,7.18,8.64,7.38,9.42,8.25,8.83,10.0,7.28,9.32,7.28,8.54,3,multi-peak-directional,515.0
St. Louis -> Denver,7.81,8.63,9.97,5.55,7.19,8.22,11.31,10.79,8.74,6.78,5.34,9.66,3,multi-peak-directional,486.5
Chicago -> Denver,10.01,7.53,9.58,5.71,5.17,9.26,7.64,10.23,10.33,8.29,7.75,8.5,3,multi-peak-directional,464.5
Dallas -> LA Basin,8.62,7.57,8.36,10.44,7.7,6.27,5.74,6.92,7.96,9.01,9.92,11.49,3,multi-peak-directional,383.0
LA Basin -> Dallas,8.71,6.3,8.98,9.92,7.91,9.12,4.56,6.57,8.98,10.32,9.38,9.25,3,multi-peak-directional,373.0
Boston -> South Florida,8.09,10.01,7.82,7.54,7.54,4.25,4.94,6.31,8.23,14.4,9.74,11.11,3,multi-peak-directional,364.5
Minneapolis -> Denver,6.72,7.54,7.96,6.31,5.21,9.19,10.15,13.58,10.01,8.23,6.31,8.78,3,multi-peak-directional,364.5
Denver -> Chicago,8.17,6.23,9.97,4.02,5.4,7.76,10.11,12.19,10.66,9.42,6.09,9.97,3,multi-peak-directional,361.0
San Antonio -> Denver,9.15,6.93,10.26,4.02,4.99,8.88,9.15,9.99,9.85,9.02,5.83,11.93,3,multi-peak-directional,360.5
New York City -> Atlanta,6.5,6.64,8.47,10.45,9.6,7.2,5.37,5.37,8.9,10.73,10.73,10.03,3,multi-peak-directional,354.0
New York City -> Charlotte,5.67,6.72,6.72,8.21,9.7,10.0,6.12,5.97,9.4,11.19,10.9,9.4,3,multi-peak-directional,335.0
Atlanta -> New York City,5.2,5.2,5.5,9.48,7.8,6.42,7.19,4.43,11.16,13.91,12.23,11.47,3,multi-peak-directional,327.0
New York City -> North Florida,9.49,5.97,9.49,11.49,9.95,8.42,5.21,4.29,8.27,8.12,8.27,11.03,3,multi-peak-directional,326.5
North Florida -> New York City,8.07,6.68,9.01,9.47,10.87,6.52,5.43,4.81,7.14,10.4,9.94,11.65,3,multi-peak-directional,322.0
Houston -> Denver,7.86,8.49,8.49,4.09,5.5,12.11,11.48,8.96,9.43,7.86,4.25,11.48,3,multi-peak-directional,318.0
Denver -> Houston,11.62,7.8,9.71,3.98,4.94,7.8,10.83,10.51,11.31,8.76,4.78,7.96,3,multi-peak-directional,314.0
Bay Area -> Seattle,7.35,4.01,7.18,7.68,7.68,7.01,11.69,11.85,9.68,9.85,7.85,8.18,3,multi-peak-directional,299.5
Denver -> San Antonio,9.2,7.5,10.73,5.11,6.3,8.01,7.5,11.41,10.22,7.33,6.3,10.39,3,multi-peak-directional,293.5
North Florida -> Dallas,9.72,6.94,11.63,8.68,8.51,9.03,7.12,6.08,7.29,8.33,5.73,10.94,3,multi-peak-directional,288.0
North Florida -> Chicago,8.52,7.48,8.73,9.36,10.6,6.65,4.37,7.48,5.61,11.64,9.56,9.98,3,multi-peak-directional,240.5
Chicago -> Dallas,5.65,6.49,9.21,8.79,7.74,11.72,8.16,5.65,9.21,8.58,10.46,8.37,3,multi-peak-directional,239.0
Chicago -> North Florida,8.67,7.82,6.77,7.82,9.09,6.55,5.5,7.4,7.61,12.26,10.36,10.15,3,multi-peak-directional,236.5
Dallas -> North Florida,5.57,9.58,12.47,10.02,10.02,9.58,8.46,3.79,5.57,9.13,7.57,8.24,3,multi-peak-directional,224.5
Nashville -> Dallas,9.32,6.82,7.05,7.5,11.36,5.0,7.95,7.5,8.64,10.45,10.45,7.95,3,multi-peak-directional,220.0
New York City -> Nashville,3.9,7.8,8.26,8.94,12.39,8.03,4.13,8.94,8.49,9.63,8.26,11.24,3,multi-peak-directional,218.0
Bay Area -> Phoenix Valley,6.4,8.62,10.84,10.84,11.08,5.67,7.39,7.14,5.42,12.56,8.13,5.91,3,multi-peak-directional,203.0
Dallas -> Chicago,4.06,7.11,7.36,7.87,7.61,9.39,7.11,6.35,11.68,11.17,11.42,8.88,3,multi-peak-directional,197.0
North Florida -> St. Louis,5.74,8.88,8.09,9.66,8.62,8.62,5.74,4.7,8.88,9.66,11.49,9.92,3,multi-peak-directional,191.5
DMV -> Chicago,6.84,8.16,6.05,7.63,7.63,11.84,8.42,7.37,7.89,11.32,6.32,10.53,3,multi-peak-directional,190.0
Charlotte -> Chicago,3.5,7.01,8.09,8.89,7.55,5.66,7.01,8.36,9.97,10.78,12.94,10.24,3,multi-peak-directional,185.5
Charlotte -> Dallas,3.64,7.0,7.84,11.2,12.04,5.88,8.68,8.68,10.64,8.96,7.0,8.4,3,multi-peak-directional,178.5
LA Basin -> San Antonio,4.49,4.78,10.11,10.67,8.99,10.67,8.15,7.02,7.58,9.27,9.83,8.43,3,multi-peak-directional,178.0
New York City -> Detroit,7.32,5.35,5.07,9.3,7.61,9.3,8.17,9.01,9.86,8.45,10.99,9.58,3,multi-peak-directional,177.5
Dallas -> Atlanta,4.32,6.34,6.63,10.95,9.22,8.07,8.65,9.22,10.09,10.66,9.51,6.34,3,multi-peak-directional,173.5
Dallas -> Charlotte,3.53,5.0,8.53,9.41,10.0,7.35,11.47,7.65,10.59,11.18,5.59,9.71,3,multi-peak-directional,170.0
LA Basin -> St. Louis,8.41,9.01,9.01,7.51,10.81,6.01,5.41,7.21,10.51,11.11,9.01,6.01,3,multi-peak-directional,166.5
Seattle -> Phoenix Valley,9.49,6.33,6.96,9.49,6.96,10.13,7.28,8.54,7.91,9.49,8.23,9.18,3,multi-peak-directional,158.0
Atlanta -> Chicago,7.92,5.61,9.57,9.9,8.58,7.59,10.56,6.93,5.94,8.91,9.9,8.58,3,multi-peak-directional,151.5
St. Louis -> North Florida,6.29,6.95,10.26,11.59,6.95,9.93,6.29,4.97,6.95,8.94,10.26,10.6,3,multi-peak-directional,151.0
Charlotte -> Houston,7.12,7.8,7.8,6.44,9.15,8.47,9.15,10.51,6.78,10.51,9.83,6.44,3,multi-peak-directional,147.5
Phoenix Valley -> Seattle,7.82,7.48,7.82,8.16,8.16,8.84,8.84,8.16,6.46,9.18,11.56,7.48,3,multi-peak-directional,147.0
New York City -> Minneapolis,6.55,7.24,6.9,5.52,12.41,9.31,8.28,9.66,9.31,8.28,8.28,8.28,3,multi-peak-directional,145.0
St. Louis -> LA Basin,6.62,8.71,7.32,9.76,7.67,7.67,4.88,5.92,12.2,13.94,10.45,4.88,3,multi-peak-directional,143.5
Charlotte -> St. Louis,4.71,8.33,6.88,11.59,6.52,7.97,6.52,6.16,11.96,13.04,7.97,8.33,3,multi-peak-directional,138.0
North Florida -> Boston,6.99,8.82,7.72,7.35,12.5,8.09,9.19,5.51,11.03,11.03,5.88,5.88,3,multi-peak-directional,136.0
Nashville -> Denver,6.42,8.68,12.08,9.43,9.06,8.68,7.92,8.68,7.92,8.3,4.15,8.68,3,multi-peak-directional,132.5
Atlanta -> San Antonio,4.92,4.55,9.47,17.42,5.3,6.44,7.2,9.85,6.06,10.98,10.98,6.82,3,multi-peak-directional,132.0
Philadelphia -> Chicago,5.79,4.25,8.11,8.49,7.34,11.2,5.79,9.65,10.81,8.49,10.81,9.27,3,multi-peak-directional,129.5
Atlanta -> Minneapolis,6.59,6.59,7.75,10.47,8.53,9.69,8.14,10.08,6.2,12.4,9.69,3.88,3,multi-peak-directional,129.0
Dallas -> New York City,5.86,6.25,5.08,11.72,9.77,8.98,5.08,5.08,9.38,9.38,11.33,12.11,3,multi-peak-directional,128.0
Denver -> Atlanta,13.89,7.54,11.51,6.35,4.76,6.35,11.9,10.32,6.75,5.95,5.95,8.73,3,multi-peak-directional,126.0
Boston -> North Florida,6.83,4.42,7.23,9.24,9.24,7.23,8.84,5.22,10.84,16.06,7.23,7.63,3,multi-peak-directional,124.5
North Florida -> Detroit,6.43,8.43,9.24,9.64,10.44,11.24,5.62,6.02,6.43,10.04,7.63,8.84,3,multi-peak-directional,124.5
DMV -> St. Louis,8.71,6.22,10.79,7.05,12.86,8.3,5.39,5.81,7.47,14.11,6.22,7.05,3,multi-peak-directional,120.5
Bay Area -> Dallas,8.86,5.91,9.7,6.75,8.02,8.02,8.86,9.28,9.7,10.13,6.33,8.44,3,multi-peak-directional,118.5
Houston -> North Florida,6.75,4.22,7.59,10.13,14.77,8.86,9.28,6.33,9.28,9.28,7.17,6.33,3,multi-peak-directional,118.5
Denver -> Nashville,10.78,4.74,9.91,7.76,6.47,9.05,8.62,9.05,12.5,9.48,4.31,7.33,3,multi-peak-directional,116.0
Houston -> Chicago,9.09,6.49,7.36,8.66,10.82,6.06,7.79,4.33,6.93,11.26,13.85,7.36,3,multi-peak-directional,115.5
North Florida -> Pittsburgh,6.58,8.77,7.46,8.33,7.89,6.14,6.58,8.33,6.14,10.96,11.84,10.96,3,multi-peak-directional,114.0
Detroit -> North Florida,7.52,7.96,10.62,7.08,10.62,8.85,7.08,8.41,5.31,9.73,7.52,9.29,3,multi-peak-directional,113.0
Dallas -> Bay Area,8.22,7.31,9.59,6.39,7.31,5.02,10.5,10.96,7.31,8.22,8.68,10.5,3,multi-peak-directional,109.5
Chicago -> Atlanta,6.19,5.71,7.62,10.0,14.29,7.14,11.9,9.52,10.0,6.67,6.19,4.76,3,multi-peak-directional,105.0
LA Basin -> Minneapolis,8.13,10.53,7.18,6.22,7.66,8.61,10.05,10.53,10.53,11.48,3.35,5.74,3,multi-peak-directional,104.5
San Antonio -> Atlanta,3.88,7.28,5.34,12.62,5.83,6.8,7.77,7.77,7.77,12.14,13.11,9.71,3,multi-peak-directional,103.0
Nashville -> Houston,7.32,5.85,11.71,11.22,14.15,5.85,5.85,6.34,7.32,9.76,7.32,7.32,3,multi-peak-directional,102.5
Atlanta -> Denver,7.35,10.78,9.8,6.86,6.37,9.8,10.29,9.8,8.33,6.37,5.88,8.33,3,multi-peak-directional,102.0
Philadelphia -> North Florida,10.84,7.88,6.9,10.34,9.85,8.37,4.43,5.91,8.87,7.88,11.82,6.9,3,multi-peak-directional,101.5
DMV -> Dallas,5.05,5.05,10.1,11.62,10.61,5.56,6.57,5.56,10.1,10.1,7.58,12.12,3,multi-peak-directional,99.0
Detroit -> St. Louis,6.81,10.99,5.24,8.38,7.85,10.99,7.33,10.47,8.9,9.42,6.81,6.81,3,multi-peak-directional,95.5
Nashville -> North Florida,6.84,6.84,11.05,10.0,13.68,7.89,7.89,5.26,5.26,6.32,7.89,11.05,3,multi-peak-directional,95.0
St. Louis -> DMV,7.94,4.76,11.64,7.41,11.64,7.41,4.23,6.35,9.52,12.17,8.99,7.94,3,multi-peak-directional,94.5
Dallas -> DMV,4.86,5.41,6.49,9.19,8.65,8.65,6.49,4.86,11.89,11.35,12.97,9.19,3,multi-peak-directional,92.5
Houston -> St. Louis,3.83,11.48,8.2,10.38,8.2,7.1,6.01,5.46,4.92,11.48,9.84,13.11,3,multi-peak-directional,91.5
Minneapolis -> LA Basin,8.2,12.02,6.01,4.92,10.38,7.1,7.1,4.92,12.57,12.02,8.74,6.01,3,multi-peak-directional,91.5
Phoenix Valley -> LA Basin,8.74,7.1,7.65,10.38,9.84,6.01,8.2,6.56,9.29,9.29,8.2,8.74,3,multi-peak-directional,91.5
LA Basin -> Chicago,6.11,10.0,9.44,10.0,11.11,7.22,4.44,5.0,11.11,7.22,11.11,7.22,3,multi-peak-directional,90.0
Nashville -> San Antonio,8.72,6.4,6.98,13.37,10.47,4.07,8.14,8.72,6.98,6.98,8.14,11.05,3,multi-peak-directional,86.0
Denver -> New York City,8.24,14.12,10.0,7.06,9.41,5.88,7.65,9.41,7.06,10.59,4.71,5.88,3,multi-peak-directional,85.0
Phoenix Valley -> Houston,5.33,11.24,8.88,9.47,11.24,10.06,1.78,4.14,8.88,10.06,10.06,8.88,3,multi-peak-directional,84.5
San Antonio -> St. Louis,8.93,4.76,8.93,10.71,6.55,7.14,8.33,7.74,4.76,13.69,5.95,12.5,3,multi-peak-directional,84.0
Chicago -> San Antonio,4.19,5.99,8.98,10.78,7.19,8.38,8.38,9.58,7.78,14.37,8.98,5.39,3,multi-peak-directional,83.5
North Florida -> Philadelphia,10.3,7.88,5.45,7.88,10.3,8.48,4.85,7.27,7.27,11.52,9.09,9.7,3,multi-peak-directional,82.5
Nashville -> Minneapolis,7.98,4.91,9.2,7.36,10.43,6.13,6.13,10.43,8.59,9.2,12.27,7.36,3,multi-peak-directional,81.5
Phoenix Valley -> Chicago,4.29,11.04,10.43,11.04,12.27,8.59,3.68,5.52,6.75,9.82,10.43,6.13,3,multi-peak-directional,81.5
Philadelphia -> Atlanta,7.05,2.56,6.41,16.03,8.97,12.82,7.69,3.21,9.62,10.9,8.97,5.77,3,multi-peak-directional,78.0
Pittsburgh -> St. Louis,5.23,9.15,7.84,7.84,5.88,8.5,8.5,4.58,13.07,12.42,8.5,8.5,3,multi-peak-directional,76.5
Houston -> DMV,8.9,11.64,8.9,7.53,10.96,7.53,5.48,5.48,10.96,13.7,4.11,4.79,3,multi-peak-directional,73.0
Houston -> New York City,6.85,13.01,6.16,4.11,8.9,8.22,4.11,4.79,10.96,15.75,9.59,7.53,3,multi-peak-directional,73.0
Atlanta -> DMV,6.25,7.64,6.25,9.72,10.42,9.72,6.94,2.78,6.94,14.58,11.81,6.94,3,multi-peak-directional,72.0
Chicago -> Phoenix Valley,9.42,8.7,7.97,9.42,6.52,6.52,3.62,12.32,7.97,13.04,9.42,5.07,3,multi-peak-directional,69.0
Detroit -> Atlanta,6.45,3.23,5.65,10.48,16.13,11.29,6.45,8.06,9.68,8.87,5.65,8.06,3,multi-peak-directional,62.0
Pittsburgh -> Dallas,11.38,4.07,9.76,7.32,5.69,8.94,5.69,8.13,12.2,8.13,9.76,8.94,3,multi-peak-directional,61.5
DMV -> Houston,3.28,12.3,6.56,10.66,13.11,8.2,5.74,7.38,6.56,11.48,8.2,6.56,3,multi-peak-directional,61.0
Denver -> Charlotte,13.11,7.38,6.56,8.2,8.2,9.02,10.66,9.84,8.2,9.84,6.56,2.46,3,multi-peak-directional,61.0
Minneapolis -> North Florida,4.1,7.38,9.84,9.84,4.1,9.84,7.38,10.66,4.92,9.02,6.56,16.39,3,multi-peak-directional,61.0
San Antonio -> Charlotte,3.6,0.9,6.31,21.62,3.6,9.01,8.11,6.31,8.11,15.32,9.91,7.21,3,multi-peak-directional,55.5
Denver -> Pittsburgh,5.45,14.55,5.45,10.0,3.64,8.18,8.18,11.82,9.09,8.18,7.27,8.18,3,multi-peak-directional,55.0
Pittsburgh -> Denver,4.55,12.73,6.36,4.55,8.18,10.0,7.27,10.0,11.82,8.18,9.09,7.27,3,multi-peak-directional,55.0
Philadelphia -> Nashville,5.56,10.19,8.33,10.19,19.44,6.48,5.56,10.19,3.7,5.56,11.11,3.7,3,multi-peak-directional,54.0
St. Louis -> Minneapolis,15.74,3.7,6.48,6.48,4.63,7.41,10.19,6.48,5.56,12.96,8.33,12.04,3,multi-peak-directional,54.0
San Antonio -> Nashville,5.66,4.72,6.6,15.09,8.49,8.49,7.55,8.49,9.43,11.32,5.66,8.49,3,multi-peak-directional,53.0
St. Louis -> Atlanta,4.72,7.55,3.77,19.81,12.26,3.77,9.43,14.15,6.6,4.72,7.55,5.66,3,multi-peak-directional,53.0
Bay Area -> San Antonio,11.54,6.73,7.69,8.65,10.58,7.69,9.62,8.65,7.69,7.69,5.77,7.69,3,multi-peak-directional,52.0
South Florida -> Denver,7.07,7.07,14.14,6.06,8.08,8.08,11.11,11.11,5.05,6.06,5.05,11.11,3,multi-peak-directional,49.5
Charlotte -> San Antonio,8.16,3.06,4.08,16.33,8.16,11.22,7.14,6.12,8.16,11.22,10.2,6.12,3,multi-peak-directional,49.0
North Florida -> Minneapolis,7.22,14.43,11.34,9.28,8.25,12.37,7.22,5.15,5.15,7.22,5.15,7.22,3,multi-peak-directional,48.5
Minneapolis -> Nashville,5.21,3.12,8.33,7.29,9.38,11.46,9.38,7.29,9.38,9.38,8.33,11.46,3,multi-peak-directional,48.0
San Antonio -> Minneapolis,9.68,4.3,6.45,9.68,17.2,4.3,9.68,6.45,5.38,12.9,8.6,5.38,3,multi-peak-directional,46.5
Chicago -> St. Louis,6.52,9.78,5.43,8.7,9.78,14.13,7.61,6.52,3.26,3.26,14.13,10.87,3,multi-peak-directional,46.0
Denver -> DMV,16.3,3.26,9.78,8.7,7.61,3.26,3.26,9.78,13.04,11.96,9.78,3.26,3,multi-peak-directional,46.0
St. Louis -> Philadelphia,3.3,9.89,9.89,6.59,17.58,6.59,3.3,8.79,10.99,16.48,2.2,4.4,3,multi-peak-directional,45.5
Minneapolis -> San Antonio,5.62,7.87,4.49,13.48,14.61,5.62,8.99,8.99,4.49,7.87,14.61,3.37,3,multi-peak-directional,44.5
San Antonio -> Bay Area,3.66,6.1,7.32,12.2,12.2,9.76,9.76,14.63,6.1,9.76,3.66,4.88,3,multi-peak-directional,41.0
New York City -> Denver,5.0,3.75,13.75,6.25,8.75,10.0,7.5,6.25,10.0,12.5,7.5,8.75,3,multi-peak-directional,40.0
San Antonio -> New York City,2.5,8.75,6.25,11.25,11.25,8.75,2.5,8.75,8.75,12.5,11.25,7.5,3,multi-peak-directional,40.0
Nashville -> Philadelphia,1.27,5.06,7.59,12.66,16.46,7.59,6.33,8.86,11.39,10.13,5.06,7.59,3,multi-peak-directional,39.5
San Antonio -> Detroit,10.94,6.25,9.38,10.94,7.81,7.81,6.25,6.25,10.94,9.38,3.12,10.94,3,multi-peak-directional,32.0
LA Basin -> Nashville,6.45,8.06,11.29,9.68,4.84,3.23,6.45,9.68,4.84,20.97,9.68,4.84,3,multi-peak-directional,31.0
San Antonio -> DMV,8.06,4.84,3.23,19.35,9.68,4.84,6.45,6.45,0.0,17.74,6.45,12.9,3,multi-peak-directional,31.0
Philadelphia -> Dallas,3.33,5.0,1.67,3.33,16.67,1.67,5.0,8.33,8.33,15.0,10.0,21.67,3,multi-peak-directional,30.0
Houston -> Pittsburgh,8.47,15.25,6.78,6.78,10.17,0.0,10.17,10.17,6.78,8.47,8.47,8.47,3,multi-peak-directional,29.5
Philadelphia -> Minneapolis,8.47,6.78,6.78,3.39,15.25,8.47,10.17,5.08,10.17,8.47,5.08,11.86,3,multi-peak-directional,29.5
Nashville -> Phoenix Valley,7.02,5.26,10.53,12.28,17.54,5.26,7.02,1.75,1.75,22.81,5.26,3.51,3,multi-peak-directional,28.5
Bay Area -> LA Basin,5.36,5.36,7.14,8.93,8.93,3.57,7.14,12.5,12.5,10.71,8.93,8.93,3,multi-peak-directional,28.0
Chicago -> Nashville,7.14,3.57,7.14,10.71,14.29,5.36,12.5,7.14,5.36,3.57,16.07,7.14,3,multi-peak-directional,28.0
Dallas -> Philadelphia,1.82,0.0,9.09,1.82,9.09,10.91,3.64,10.91,9.09,12.73,7.27,23.64,3,multi-peak-directional,27.5
Phoenix Valley -> Nashville,7.27,5.45,12.73,16.36,14.55,1.82,5.45,7.27,3.64,16.36,5.45,3.64,3,multi-peak-directional,27.5
Pittsburgh -> Houston,7.69,17.31,5.77,5.77,3.85,7.69,5.77,11.54,5.77,15.38,9.62,3.85,3,multi-peak-directional,26.0
Dallas -> St. Louis,0.0,14.0,14.0,8.0,12.0,8.0,6.0,8.0,8.0,10.0,4.0,8.0,3,multi-peak-directional,25.0
Nashville -> Chicago,4.0,10.0,12.0,4.0,2.0,2.0,12.0,6.0,16.0,6.0,18.0,8.0,3,multi-peak-directional,25.0
Philadelphia -> Detroit,6.38,12.77,4.26,6.38,10.64,14.89,12.77,4.26,2.13,6.38,12.77,6.38,3,multi-peak-directional,23.5
Denver -> Philadelphia,13.64,6.82,6.82,9.09,9.09,4.55,4.55,6.82,20.45,9.09,4.55,4.55,3,multi-peak-directional,22.0
Atlanta -> North Florida,4.65,9.3,9.3,6.98,11.63,11.63,9.3,9.3,9.3,2.33,6.98,9.3,3,multi-peak-directional,21.5
Pittsburgh -> San Antonio,8.33,11.11,2.78,13.89,8.33,5.56,5.56,25.0,5.56,8.33,0.0,5.56,3,multi-peak-directional,18.0
San Antonio -> Houston,2.78,5.56,2.78,8.33,8.33,8.33,13.89,2.78,2.78,16.67,11.11,16.67,3,multi-peak-directional,18.0
DMV -> Denver,12.12,0.0,9.09,15.15,12.12,9.09,6.06,9.09,6.06,6.06,3.03,12.12,3,multi-peak-directional,16.5
Boston -> Denver,9.38,6.25,9.38,6.25,15.62,15.62,9.38,6.25,0.0,3.12,12.5,6.25,3,multi-peak-directional,16.0
Houston -> Philadelphia,15.62,9.38,0.0,9.38,6.25,15.62,9.38,9.38,6.25,0.0,9.38,9.38,3,multi-peak-directional,16.0
San Antonio -> Philadelphia,9.68,6.45,3.23,16.13,6.45,6.45,12.9,6.45,9.68,9.68,9.68,3.23,3,multi-peak-directional,15.5
Philadelphia -> Houston,13.33,10.0,3.33,3.33,6.67,3.33,6.67,23.33,6.67,3.33,16.67,3.33,3,multi-peak-directional,15.0
Pittsburgh -> Charlotte,3.45,0.0,6.9,24.14,13.79,6.9,3.45,13.79,6.9,3.45,6.9,10.34,3,multi-peak-directional,14.5
Phoenix Valley -> Pittsburgh,4.76,9.52,0.0,9.52,4.76,0.0,9.52,14.29,14.29,14.29,4.76,14.29,3,multi-peak-directional,10.5
