corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Atlanta -> St. Louis,8.95,9.34,8.95,10.89,10.51,7.78,3.11,5.06,5.45,9.73,9.34,10.89,0,winter-spring-peak,128.5
Pittsburgh -> North Florida,9.47,10.7,7.82,8.23,10.7,5.76,4.53,4.94,6.17,10.29,9.88,11.52,0,winter-spring-peak,121.5
Phoenix Valley -> Minneapolis,8.3,7.88,10.37,12.86,7.05,4.98,4.15,4.56,5.81,7.47,14.11,12.45,0,winter-spring-peak,120.5
DMV -> Atlanta,7.95,7.53,10.88,12.13,12.13,5.02,5.86,4.6,7.53,5.44,11.3,9.62,0,winter-spring-peak,119.5
LA Basin -> Houston,11.72,10.46,7.53,9.62,10.04,3.77,3.35,2.93,7.95,10.46,9.21,12.97,0,winter-spring-peak,119.5
St. Louis -> Phoenix Valley,6.69,15.48,11.3,9.21,6.69,3.35,3.35,3.77,6.28,13.39,7.95,12.55,0,winter-spring-peak,119.5
Phoenix Valley -> St. Louis,9.28,12.24,11.39,12.24,7.17,5.49,5.49,4.22,4.64,11.81,8.86,7.17,0,winter-spring-peak,118.5
South Florida -> Minneapolis,12.29,11.02,9.75,14.41,10.59,4.66,5.08,5.93,4.66,4.66,6.78,10.17,0,winter-spring-peak,118.0
Minneapolis -> Phoenix Valley,10.68,9.83,10.26,5.98,5.98,5.56,4.27,2.56,8.97,13.25,9.83,12.82,0,winter-spring-peak,117.0
Chicago -> Houston,5.6,6.47,9.91,11.64,9.91,9.05,6.03,3.45,6.9,6.9,13.79,10.34,0,winter-spring-peak,116.0
St. Louis -> San Antonio,12.23,8.3,8.3,10.48,6.11,4.37,5.24,6.55,3.49,12.23,7.86,14.85,0,winter-spring-peak,114.5
North Florida -> San Antonio,12.9,8.29,9.68,15.21,6.45,5.53,4.61,4.15,5.53,11.52,6.45,9.68,0,winter-spring-peak,108.5
St. Louis -> Houston,8.53,11.85,4.27,12.8,12.32,5.69,5.69,4.27,4.74,10.43,10.43,9.0,0,winter-spring-peak,105.5
Houston -> Phoenix Valley,9.76,10.73,9.27,11.71,12.2,5.85,5.37,5.85,5.85,6.34,10.24,6.83,0,winter-spring-peak,102.5
San Antonio -> North Florida,9.69,7.65,7.65,13.78,12.76,4.59,5.1,5.1,5.61,8.67,10.71,8.67,0,winter-spring-peak,98.0
DMV -> Nashville,10.47,6.28,10.99,12.57,9.95,5.24,4.19,6.81,6.81,8.9,9.42,8.38,0,winter-spring-peak,95.5
Houston -> LA Basin,15.05,9.14,8.6,10.75,9.68,4.3,2.69,4.3,4.3,14.52,6.45,10.22,0,winter-spring-peak,93.0
Denver -> South Florida,15.91,11.93,15.91,11.36,4.55,2.84,6.25,5.11,3.41,6.25,3.98,12.5,0,winter-spring-peak,88.0
Denver -> North Florida,12.34,12.34,15.58,5.84,5.84,4.55,9.09,5.19,9.09,5.84,4.55,9.74,0,winter-spring-peak,77.0
Phoenix Valley -> San Antonio,7.25,7.25,10.87,7.25,10.14,7.25,5.8,4.35,6.52,7.97,13.77,11.59,0,winter-spring-peak,69.0
St. Louis -> Dallas,10.22,8.76,12.41,13.14,8.76,4.38,2.92,6.57,5.84,5.11,12.41,9.49,0,winter-spring-peak,68.5
Houston -> Dallas,11.9,12.7,8.73,11.9,11.11,3.17,3.17,2.38,5.56,3.97,11.9,13.49,0,winter-spring-peak,63.0
Charlotte -> Nashville,10.48,6.45,15.32,4.84,8.06,4.84,2.42,2.42,7.26,12.9,13.71,11.29,0,winter-spring-peak,62.0
Charlotte -> North Florida,13.79,17.24,9.48,6.9,13.79,3.45,6.9,6.9,6.03,2.59,5.17,7.76,0,winter-spring-peak,58.0
Philadelphia -> Charlotte,7.45,3.19,8.51,8.51,11.7,5.32,7.45,2.13,8.51,8.51,15.96,12.77,0,winter-spring-peak,47.0
LA Basin -> Bay Area,12.35,16.05,19.75,4.94,8.64,1.23,2.47,3.7,4.94,6.17,7.41,12.35,0,winter-spring-peak,40.5
Houston -> San Antonio,16.46,10.13,11.39,8.86,13.92,2.53,3.8,2.53,2.53,6.33,12.66,8.86,0,winter-spring-peak,39.5
North Florida -> Charlotte,3.17,9.52,11.11,11.11,9.52,6.35,12.7,3.17,1.59,6.35,9.52,15.87,0,winter-spring-peak,31.5
Dallas -> San Antonio,17.74,11.29,14.52,8.06,8.06,3.23,4.84,4.84,1.61,0.0,20.97,4.84,0,winter-spring-peak,31.0
Phoenix Valley -> Detroit,10.71,7.14,7.14,14.29,10.71,7.14,3.57,5.36,5.36,3.57,12.5,12.5,0,winter-spring-peak,28.0
New York City -> Pittsburgh,10.0,16.0,8.0,4.0,8.0,6.0,10.0,6.0,2.0,14.0,6.0,10.0,0,winter-spring-peak,25.0
North Florida -> Atlanta,18.0,4.0,16.0,2.0,20.0,4.0,6.0,4.0,6.0,4.0,6.0,10.0,0,winter-spring-peak,25.0
Phoenix Valley -> Atlanta,8.16,10.2,14.29,14.29,6.12,6.12,8.16,2.04,6.12,8.16,2.04,14.29,0,winter-spring-peak,24.5
Phoenix Valley -> South Florida,32.61,15.22,13.04,10.87,6.52,4.35,2.17,0.0,0.0,2.17,6.52,6.52,0,winter-spring-peak,23.0
Bay Area -> Houston,13.33,8.89,11.11,2.22,4.44,4.44,8.89,6.67,2.22,13.33,20.0,4.44,0,winter-spring-peak,22.5
LA Basin -> Atlanta,11.11,4.44,4.44,15.56,11.11,2.22,0.0,2.22,15.56,11.11,15.56,6.67,0,winter-spring-peak,22.5
Pittsburgh -> Nashville,5.13,10.26,12.82,12.82,7.69,7.69,2.56,7.69,5.13,7.69,10.26,10.26,0,winter-spring-peak,19.5
San Antonio -> Dallas,13.16,5.26,10.53,7.89,5.26,21.05,2.63,2.63,2.63,5.26,10.53,13.16,0,winter-spring-peak,19.0
Detroit -> Phoenix Valley,8.57,11.43,8.57,5.71,5.71,5.71,5.71,5.71,11.43,2.86,14.29,14.29,0,winter-spring-peak,17.5
