corridor,month,density_pct,cluster_label,slab,intensity
Dallas -> Denver,Feb,15.37,core-utilization,> 15%,5
Dallas -> Denver,Jan,12.54,core-utilization,12%-15%,4
Dallas -> Denver,Jul,6.18,core-utilization,6%-9%,2
Dallas -> Denver,Jun,6.54,core-utilization,6%-9%,2
Dallas -> Denver,Mar,12.01,core-utilization,12%-15%,4
Dallas -> Denver,May,3.18,core-utilization,< 4%,0
Dallas -> Denver,Nov,3.89,core-utilization,< 4%,0
Dallas -> Denver,Oct,5.65,core-utilization,4%-6%,1
Dallas -> Denver,Sep,5.83,core-utilization,4%-6%,1
Dallas -> Seattle,Apr,6.46,core-utilization,6%-9%,2
Dallas -> Seattle,Aug,10.62,core-utilization,9%-12%,3
Dallas -> Seattle,Dec,8.11,core-utilization,6%-9%,2
Dallas -> Seattle,Feb,7.23,core-utilization,6%-9%,2
Dallas -> Seattle,Jan,6.68,core-utilization,6%-9%,2
Dallas -> Seattle,Jul,11.61,core-utilization,9%-12%,3
Dallas -> Seattle,Jun,8.87,core-utilization,6%-9%,2
Dallas -> Seattle,Mar,8.11,core-utilization,6%-9%,2
Dallas -> Seattle,May,7.56,core-utilization,6%-9%,2
Dallas -> Seattle,Nov,7.67,core-utilization,6%-9%,2
Dallas -> Seattle,Oct,8.0,core-utilization,6%-9%,2
Dallas -> Seattle,Sep,9.09,core-utilization,9%-12%,3
Denver -> Atlanta,Apr,6.07,core-utilization,6%-9%,2
Denver -> Atlanta,Aug,13.58,core-utilization,12%-15%,4
Denver -> Atlanta,Dec,7.82,core-utilization,6%-9%,2
Denver -> Atlanta,Feb,7.1,core-utilization,6%-9%,2
Denver -> Atlanta,Jan,7.61,core-utilization,6%-9%,2
Denver -> Atlanta,Jul,14.51,core-utilization,12%-15%,4
Denver -> Atlanta,Jun,9.26,core-utilization,9%-12%,3
Denver -> Atlanta,Mar,8.13,core-utilization,6%-9%,2
Denver -> Atlanta,May,3.81,core-utilization,< 4%,0
Denver -> Atlanta,Nov,4.73,core-utilization,4%-6%,1
Denver -> Atlanta,Oct,6.69,core-utilization,6%-9%,2
Denver -> Atlanta,Sep,10.7,core-utilization,9%-12%,3
Denver -> Boston,Apr,5.53,core-utilization,4%-6%,1
Denver -> Boston,Aug,12.75,core-utilization,12%-15%,4
Denver -> Boston,Dec,5.67,core-utilization,4%-6%,1
Denver -> Boston,Feb,8.89,core-utilization,6%-9%,2
Denver -> Boston,Jan,7.14,core-utilization,6%-9%,2
Denver -> Boston,Jul,13.38,core-utilization,12%-15%,4
Denver -> Boston,Jun,9.8,core-utilization,9%-12%,3
Denver -> Boston,Mar,8.89,core-utilization,6%-9%,2
Denver -> Boston,May,5.6,core-utilization,4%-6%,1
Denver -> Boston,Nov,4.48,core-utilization,4%-6%,1
Denver -> Boston,Oct,7.49,core-utilization,6%-9%,2
Denver -> Boston,Sep,10.36,core-utilization,9%-12%,3
Denver -> Charlotte,Apr,4.84,core-utilization,4%-6%,1
Denver -> Charlotte,Aug,12.97,core-utilization,12%-15%,4
Denver -> Charlotte,Dec,7.55,core-utilization,6%-9%,2
Denver -> Charlotte,Feb,9.78,core-utilization,9%-12%,3
Denver -> Charlotte,Jan,10.36,core-utilization,9%-12%,3
Denver -> Charlotte,Jul,9.58,core-utilization,9%-12%,3
Denver -> Charlotte,Jun,8.13,core-utilization,6%-9%,2
Denver -> Charlotte,Mar,8.52,core-utilization,6%-9%,2
Denver -> Charlotte,May,4.84,core-utilization,4%-6%,1
Denver -> Charlotte,Nov,5.23,core-utilization,4%-6%,1
Denver -> Charlotte,Oct,9.58,core-utilization,9%-12%,3
Denver -> Charlotte,Sep,8.62,core-utilization,6%-9%,2
Denver -> Chicago,Apr,3.15,core-utilization,< 4%,0
Denver -> Chicago,Aug,10.83,core-utilization,9%-12%,3
Denver -> Chicago,Dec,10.24,core-utilization,9%-12%,3
Denver -> Chicago,Feb,8.07,core-utilization,6%-9%,2
Denver -> Chicago,Jan,9.45,core-utilization,9%-12%,3
Denver -> Chicago,Jul,16.54,core-utilization,> 15%,5
Denver -> Chicago,Jun,5.51,core-utilization,4%-6%,1
Denver -> Chicago,Mar,8.66,core-utilization,6%-9%,2
Denver -> Chicago,May,6.1,core-utilization,6%-9%,2
Denver -> Chicago,Nov,3.74,core-utilization,< 4%,0
Denver -> Chicago,Oct,4.72,core-utilization,4%-6%,1
Denver -> Chicago,Sep,12.99,core-utilization,12%-15%,4
Denver -> DMV,Apr,5.52,core-utilization,4%-6%,1
Denver -> DMV,Aug,11.64,core-utilization,9%-12%,3
Denver -> DMV,Dec,7.39,core-utilization,6%-9%,2
Denver -> DMV,Feb,7.91,core-utilization,6%-9%,2
Denver -> DMV,Jan,11.87,core-utilization,9%-12%,3
Denver -> DMV,Jul,10.82,core-utilization,9%-12%,3
Denver -> DMV,Jun,7.39,core-utilization,6%-9%,2
Denver -> DMV,Mar,11.04,core-utilization,9%-12%,3
Denver -> DMV,May,5.37,core-utilization,4%-6%,1
Denver -> DMV,Nov,3.88,core-utilization,< 4%,0
Denver -> DMV,Oct,7.54,core-utilization,6%-9%,2
Denver -> DMV,Sep,9.63,core-utilization,9%-12%,3
Denver -> Detroit,Apr,3.11,core-utilization,< 4%,0
Denver -> Detroit,Aug,12.61,core-utilization,12%-15%,4
Denver -> Detroit,Dec,8.23,core-utilization,6%-9%,2
Denver -> Detroit,Feb,7.68,core-utilization,6%-9%,2
Denver -> Detroit,Jan,7.5,core-utilization,6%-9%,2
Denver -> Detroit,Jul,13.71,core-utilization,12%-15%,4
Denver -> Detroit,Jun,7.5,core-utilization,6%-9%,2
Denver -> Detroit,Mar,10.6,core-utilization,9%-12%,3
Denver -> Detroit,May,5.3,core-utilization,4%-6%,1
Denver -> Detroit,Nov,4.75,core-utilization,4%-6%,1
Denver -> Detroit,Oct,6.58,core-utilization,6%-9%,2
Denver -> Detroit,Sep,12.43,core-utilization,12%-15%,4
Denver -> Houston,Apr,4.68,core-utilization,4%-6%,1
Denver -> Houston,Aug,14.51,core-utilization,12%-15%,4
Denver -> Houston,Dec,5.77,core-utilization,4%-6%,1
Denver -> Houston,Feb,7.18,core-utilization,6%-9%,2
Denver -> Houston,Jan,8.74,core-utilization,6%-9%,2
Denver -> Houston,Jul,15.6,core-utilization,> 15%,5
Denver -> Houston,Jun,9.36,core-utilization,9%-12%,3
Denver -> Houston,Mar,9.36,core-utilization,9%-12%,3
Denver -> Houston,May,3.9,core-utilization,< 4%,0
Denver -> Houston,Nov,4.52,core-utilization,4%-6%,1
Denver -> Houston,Oct,6.86,core-utilization,6%-9%,2
Denver -> Houston,Sep,9.52,core-utilization,9%-12%,3
Denver -> Nashville,Apr,4.01,core-utilization,4%-6%,1
Denver -> Nashville,Aug,12.89,core-utilization,12%-15%,4
Denver -> Nashville,Dec,4.58,core-utilization,4%-6%,1
Denver -> Nashville,Feb,6.3,core-utilization,6%-9%,2
Denver -> Nashville,Jan,9.17,core-utilization,9%-12%,3
Denver -> Nashville,Jul,12.89,core-utilization,12%-15%,4
Denver -> Nashville,Jun,8.88,core-utilization,6%-9%,2
Denver -> Nashville,Mar,10.6,core-utilization,9%-12%,3
Denver -> Nashville,May,6.59,core-utilization,6%-9%,2
Denver -> Nashville,Nov,8.02,core-utilization,6%-9%,2
Denver -> Nashville,Oct,8.02,core-utilization,6%-9%,2
Denver -> Nashville,Sep,8.02,core-utilization,6%-9%,2
Denver -> New York City,Apr,4.59,core-utilization,4%-6%,1
Denver -> New York City,Aug,10.88,core-utilization,9%-12%,3
Denver -> New York City,Dec,6.81,core-utilization,6%-9%,2
Denver -> New York City,Feb,11.82,core-utilization,9%-12%,3
Denver -> New York City,Jan,11.52,core-utilization,9%-12%,3
Denver -> New York City,Jul,9.73,core-utilization,9%-12%,3
Denver -> New York City,Jun,6.51,core-utilization,6%-9%,2
Denver -> New York City,Mar,12.37,core-utilization,12%-15%,4
Denver -> New York City,May,4.51,core-utilization,4%-6%,1
Denver -> New York City,Nov,4.14,core-utilization,4%-6%,1
Denver -> New York City,Oct,7.11,core-utilization,6%-9%,2
Denver -> New York City,Sep,10.0,core-utilization,9%-12%,3
Denver -> North Florida,Apr,4.64,core-utilization,4%-6%,1
Denver -> North Florida,Aug,8.27,core-utilization,6%-9%,2
Denver -> North Florida,Dec,7.34,core-utilization,6%-9%,2
Denver -> North Florida,Feb,10.82,core-utilization,9%-12%,3
Denver -> North Florida,Jan,9.74,core-utilization,9%-12%,3
Denver -> North Florida,Jul,9.89,core-utilization,9%-12%,3
Denver -> North Florida,Jun,6.41,core-utilization,6%-9%,2
Denver -> North Florida,Mar,13.29,core-utilization,12%-15%,4
Denver -> North Florida,May,4.1,core-utilization,4%-6%,1
Denver -> North Florida,Nov,5.56,core-utilization,4%-6%,1
Denver -> North Florida,Oct,10.9,core-utilization,9%-12%,3
Denver -> North Florida,Sep,9.04,core-utilization,9%-12%,3
Denver -> Philadelphia,Apr,4.84,core-utilization,4%-6%,1
Denver -> Philadelphia,Aug,11.56,core-utilization,9%-12%,3
Denver -> Philadelphia,Dec,6.72,core-utilization,6%-9%,2
Denver -> Philadelphia,Feb,9.06,core-utilization,9%-12%,3
Denver -> Philadelphia,Jan,7.81,core-utilization,6%-9%,2
Denver -> Philadelphia,Jul,10.47,core-utilization,9%-12%,3
Denver -> Philadelphia,Jun,8.28,core-utilization,6%-9%,2
Denver -> Philadelphia,Mar,12.19,core-utilization,12%-15%,4
Denver -> Philadelphia,May,5.47,core-utilization,4%-6%,1
Denver -> Philadelphia,Nov,5.16,core-utilization,4%-6%,1
Denver -> Philadelphia,Oct,7.66,core-utilization,6%-9%,2
Denver -> Philadelphia,Sep,10.78,core-utilization,9%-12%,3
Denver -> Pittsburgh,Apr,5.92,core-utilization,4%-6%,1
Denver -> Pittsburgh,Aug,10.41,core-utilization,9%-12%,3
Denver -> Pittsburgh,Dec,6.82,core-utilization,6%-9%,2
Denver -> Pittsburgh,Feb,11.49,core-utilization,9%-12%,3
Denver -> Pittsburgh,Jan,8.26,core-utilization,6%-9%,2
Denver -> Pittsburgh,Jul,11.67,core-utilization,9%-12%,3
Denver -> Pittsburgh,Jun,7.54,core-utilization,6%-9%,2
Denver -> Pittsburgh,Mar,7.72,core-utilization,6%-9%,2
Denver -> Pittsburgh,May,4.13,core-utilization,4%-6%,1
Denver -> Pittsburgh,Nov,5.57,core-utilization,4%-6%,1
Denver -> Pittsburgh,Oct,6.82,core-utilization,6%-9%,2
Denver -> Pittsburgh,Sep,13.64,core-utilization,12%-15%,4
Denver -> San Antonio,Apr,5.31,core-utilization,4%-6%,1
Denver -> San Antonio,Aug,13.27,core-utilization,12%-15%,4
Denver -> San Antonio,Dec,7.08,core-utilization,6%-9%,2
Denver -> San Antonio,Feb,4.87,core-utilization,4%-6%,1
Denver -> San Antonio,Jan,11.06,core-utilization,9%-12%,3
Denver -> San Antonio,Jul,15.04,core-utilization,> 15%,5
Denver -> San Antonio,Jun,10.18,core-utilization,9%-12%,3
Denver -> San Antonio,Mar,10.18,core-utilization,9%-12%,3
Denver -> San Antonio,May,3.98,core-utilization,< 4%,0
Denver -> San Antonio,Nov,2.65,core-utilization,< 4%,0
Denver -> San Antonio,Oct,8.41,core-utilization,6%-9%,2
Denver -> San Antonio,Sep,7.96,core-utilization,6%-9%,2
Denver -> St. Louis,Apr,8.82,core-utilization,6%-9%,2
Denver -> St. Louis,Aug,20.59,core-utilization,> 15%,5
Denver -> St. Louis,Dec,5.88,core-utilization,4%-6%,1
Denver -> St. Louis,Feb,5.88,core-utilization,4%-6%,1
Denver -> St. Louis,Jan,5.88,core-utilization,4%-6%,1
Denver -> St. Louis,Jul,14.71,core-utilization,12%-15%,4
Denver -> St. Louis,Jun,11.76,core-utilization,9%-12%,3
Denver -> St. Louis,Mar,14.71,core-utilization,12%-15%,4
Denver -> St. Louis,May,2.94,core-utilization,< 4%,0
Denver -> St. Louis,Nov,0.0,core-utilization,< 4%,0
Denver -> St. Louis,Oct,2.94,core-utilization,< 4%,0
Denver -> St. Louis,Sep,5.88,core-utilization,4%-6%,1
Detroit -> Denver,Apr,4.15,core-utilization,4%-6%,1
Detroit -> Denver,Aug,10.75,core-utilization,9%-12%,3
Detroit -> Denver,Dec,8.4,core-utilization,6%-9%,2
Detroit -> Denver,Feb,10.75,core-utilization,9%-12%,3
Detroit -> Denver,Jan,9.72,core-utilization,9%-12%,3
Detroit -> Denver,Jul,12.26,core-utilization,12%-15%,4
Detroit -> Denver,Jun,7.83,core-utilization,6%-9%,2
Detroit -> Denver,Mar,10.0,core-utilization,9%-12%,3
Detroit -> Denver,May,5.28,core-utilization,4%-6%,1
Detroit -> Denver,Nov,5.0,core-utilization,4%-6%,1
Detroit -> Denver,Oct,6.98,core-utilization,6%-9%,2
Detroit -> Denver,Sep,8.87,core-utilization,6%-9%,2
Detroit -> North Florida,Apr,0.0,core-utilization,< 4%,0
Detroit -> North Florida,Aug,14.0,core-utilization,12%-15%,4
Detroit -> North Florida,Dec,22.0,core-utilization,> 15%,5
Detroit -> North Florida,Feb,2.0,core-utilization,< 4%,0
Detroit -> North Florida,Jan,10.0,core-utilization,9%-12%,3
Detroit -> North Florida,Jul,14.0,core-utilization,12%-15%,4
Detroit -> North Florida,Jun,4.0,core-utilization,4%-6%,1
Detroit -> North Florida,Mar,8.0,core-utilization,6%-9%,2
Detroit -> North Florida,May,6.0,core-utilization,6%-9%,2
Detroit -> North Florida,Nov,4.0,core-utilization,4%-6%,1
Detroit -> North Florida,Oct,4.0,core-utilization,4%-6%,1
Detroit -> North Florida,Sep,12.0,core-utilization,12%-15%,4
Houston -> Denver,Apr,4.25,core-utilization,4%-6%,1
Houston -> Denver,Aug,8.19,core-utilization,6%-9%,2
Houston -> Denver,Dec,15.12,core-utilization,> 15%,5
Houston -> Denver,Feb,10.79,core-utilization,9%-12%,3
Houston -> Denver,Jan,11.1,core-utilization,9%-12%,3
Houston -> Denver,Jul,9.45,core-utilization,9%-12%,3
Houston -> Denver,Jun,7.48,core-utilization,6%-9%,2
Houston -> Denver,Mar,11.18,core-utilization,9%-12%,3
Houston -> Denver,May,4.17,core-utilization,4%-6%,1
Houston -> Denver,Nov,4.49,core-utilization,4%-6%,1
Houston -> Denver,Oct,6.06,core-utilization,6%-9%,2
Houston -> Denver,Sep,7.72,core-utilization,6%-9%,2
LA Basin -> Denver,Apr,4.88,core-utilization,4%-6%,1
LA Basin -> Denver,Aug,7.32,core-utilization,6%-9%,2
LA Basin -> Denver,Dec,17.07,core-utilization,> 15%,5
LA Basin -> Denver,Feb,7.32,core-utilization,6%-9%,2
LA Basin -> Denver,Jan,14.63,core-utilization,12%-15%,4
LA Basin -> Denver,Jul,17.07,core-utilization,> 15%,5
LA Basin -> Denver,Jun,4.88,core-utilization,4%-6%,1
LA Basin -> Denver,Mar,9.76,core-utilization,9%-12%,3
LA Basin -> Denver,May,7.32,core-utilization,6%-9%,2
LA Basin -> Denver,Nov,2.44,core-utilization,< 4%,0
LA Basin -> Denver,Oct,4.88,core-utilization,4%-6%,1
LA Basin -> Denver,Sep,2.44,core-utilization,< 4%,0
Minneapolis -> Denver,Apr,4.52,core-utilization,4%-6%,1
Minneapolis -> Denver,Aug,7.1,core-utilization,6%-9%,2
Minneapolis -> Denver,Dec,14.19,core-utilization,12%-15%,4
Minneapolis -> Denver,Feb,14.84,core-utilization,12%-15%,4
Minneapolis -> Denver,Jan,7.1,core-utilization,6%-9%,2
Minneapolis -> Denver,Jul,10.97,core-utilization,9%-12%,3
Minneapolis -> Denver,Jun,11.61,core-utilization,9%-12%,3
Minneapolis -> Denver,Mar,5.81,core-utilization,4%-6%,1
Minneapolis -> Denver,May,5.16,core-utilization,4%-6%,1
Minneapolis -> Denver,Nov,4.52,core-utilization,4%-6%,1
Minneapolis -> Denver,Oct,8.39,core-utilization,6%-9%,2
Minneapolis -> Denver,Sep,5.81,core-utilization,4%-6%,1
Nashville -> Denver,Apr,3.87,core-utilization,< 4%,0
Nashville -> Denver,Aug,10.58,core-utilization,9%-12%,3
Nashville -> Denver,Dec,9.03,core-utilization,9%-12%,3
Nashville -> Denver,Feb,11.48,core-utilization,9%-12%,3
Nashville -> Denver,Jan,10.58,core-utilization,9%-12%,3
Nashville -> Denver,Jul,9.16,core-utilization,9%-12%,3
Nashville -> Denver,Jun,8.26,core-utilization,6%-9%,2
Nashville -> Denver,Mar,9.94,core-utilization,9%-12%,3
Nashville -> Denver,May,5.29,core-utilization,4%-6%,1
Nashville -> Denver,Nov,6.32,core-utilization,6%-9%,2
Nashville -> Denver,Oct,7.48,core-utilization,6%-9%,2
Nashville -> Denver,Sep,8.0,core-utilization,6%-9%,2
New York City -> Denver,Apr,4.14,core-utilization,4%-6%,1
New York City -> Denver,Aug,11.43,core-utilization,9%-12%,3
New York City -> Denver,Dec,12.8,core-utilization,12%-15%,4
New York City -> Denver,Feb,10.96,core-utilization,9%-12%,3
New York City -> Denver,Jan,8.56,core-utilization,6%-9%,2
New York City -> Denver,Jul,9.72,core-utilization,9%-12%,3
New York City -> Denver,Jun,9.28,core-utilization,9%-12%,3
New York City -> Denver,Mar,10.74,core-utilization,9%-12%,3
New York City -> Denver,May,3.65,core-utilization,< 4%,0
New York City -> Denver,Nov,4.17,core-utilization,4%-6%,1
New York City -> Denver,Oct,6.67,core-utilization,6%-9%,2
New York City -> Denver,Sep,7.89,core-utilization,6%-9%,2
North Florida -> Denver,Apr,4.87,core-utilization,4%-6%,1
North Florida -> Denver,Aug,7.54,core-utilization,6%-9%,2
North Florida -> Denver,Dec,11.63,core-utilization,9%-12%,3
North Florida -> Denver,Feb,10.29,core-utilization,9%-12%,3
North Florida -> Denver,Jan,7.54,core-utilization,6%-9%,2
North Florida -> Denver,Jul,9.58,core-utilization,9%-12%,3
North Florida -> Denver,Jun,9.82,core-utilization,9%-12%,3
North Florida -> Denver,Mar,10.37,core-utilization,9%-12%,3
North Florida -> Denver,May,7.07,core-utilization,6%-9%,2
North Florida -> Denver,Nov,6.83,core-utilization,6%-9%,2
North Florida -> Denver,Oct,7.46,core-utilization,6%-9%,2
North Florida -> Denver,Sep,6.99,core-utilization,6%-9%,2
North Florida -> Seattle,Apr,5.85,core-utilization,4%-6%,1
North Florida -> Seattle,Aug,7.32,core-utilization,6%-9%,2
North Florida -> Seattle,Dec,10.73,core-utilization,9%-12%,3
North Florida -> Seattle,Feb,5.85,core-utilization,4%-6%,1
North Florida -> Seattle,Jan,5.85,core-utilization,4%-6%,1
North Florida -> Seattle,Jul,12.2,core-utilization,12%-15%,4
North Florida -> Seattle,Jun,13.17,core-utilization,12%-15%,4
North Florida -> Seattle,Mar,11.71,core-utilization,9%-12%,3
North Florida -> Seattle,May,8.78,core-utilization,6%-9%,2
North Florida -> Seattle,Nov,6.83,core-utilization,6%-9%,2
North Florida -> Seattle,Oct,4.88,core-utilization,4%-6%,1
North Florida -> Seattle,Sep,6.83,core-utilization,6%-9%,2
Philadelphia -> Denver,Apr,4.33,core-utilization,4%-6%,1
Philadelphia -> Denver,Aug,12.06,core-utilization,12%-15%,4
Philadelphia -> Denver,Dec,10.97,core-utilization,9%-12%,3
Philadelphia -> Denver,Feb,8.5,core-utilization,6%-9%,2
Philadelphia -> Denver,Jan,7.26,core-utilization,6%-9%,2
Philadelphia -> Denver,Jul,10.36,core-utilization,9%-12%,3
Philadelphia -> Denver,Jun,9.12,core-utilization,9%-12%,3
Philadelphia -> Denver,Mar,12.36,core-utilization,12%-15%,4
Philadelphia -> Denver,May,5.72,core-utilization,4%-6%,1
Philadelphia -> Denver,Nov,4.95,core-utilization,4%-6%,1
