AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,Charlotte -> Atlanta,May,8.82,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> Atlanta,Jun,2.94,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Atlanta,Jul,5.88,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Aug,0.0,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Atlanta,Sep,5.88,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Atlanta,Oct,2.94,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Atlanta,Nov,11.76,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> Atlanta,Dec,20.59,winter-spring-peak,> 15%,5
Light Jet,Charlotte -> Nashville,Jan,10.48,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> Nashville,Feb,6.45,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> Nashville,Mar,15.32,winter-spring-peak,> 15%,5
Light Jet,Charlotte -> Nashville,Apr,4.84,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Nashville,May,8.06,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> Nashville,Jun,4.84,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> Nashville,Jul,2.42,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Nashville,Aug,2.42,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> Nashville,Sep,7.26,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> Nashville,Oct,12.9,winter-spring-peak,12%-15%,4
Light Jet,Charlotte -> Nashville,Nov,13.71,winter-spring-peak,12%-15%,4
Light Jet,Charlotte -> Nashville,Dec,11.29,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> North Florida,Jan,13.79,winter-spring-peak,12%-15%,4
Light Jet,Charlotte -> North Florida,Feb,17.24,winter-spring-peak,> 15%,5
Light Jet,Charlotte -> North Florida,Mar,9.48,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> North Florida,Apr,6.9,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> North Florida,May,13.79,winter-spring-peak,12%-15%,4
Light Jet,Charlotte -> North Florida,Jun,3.45,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> North Florida,Jul,6.9,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> North Florida,Aug,6.9,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> North Florida,Sep,6.03,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> North Florida,Oct,2.59,winter-spring-peak,< 4%,0
Light Jet,Charlotte -> North Florida,Nov,5.17,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> North Florida,Dec,7.76,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Jan,9.65,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> South Florida,Feb,8.15,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Mar,10.5,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> South Florida,Apr,9.75,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> South Florida,May,8.43,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Jun,7.12,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Jul,5.72,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> South Florida,Aug,4.59,winter-spring-peak,4%-6%,1
Light Jet,Charlotte -> South Florida,Sep,6.09,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Oct,8.62,winter-spring-peak,6%-9%,2
Light Jet,Charlotte -> South Florida,Nov,9.0,winter-spring-peak,9%-12%,3
Light Jet,Charlotte -> South Florida,Dec,12.37,winter-spring-peak,12%-15%,4
Light Jet,Chicago -> Houston,Jan,5.6,winter-spring-peak,4%-6%,1
Light Jet,Chicago -> Houston,Feb,6.47,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> Houston,Mar,9.91,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> Houston,Apr,11.64,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> Houston,May,9.91,winter-spring-peak,9%-12%,3
