AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,New York City -> Atlanta,Apr,1.25,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Atlanta,May,1.15,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Atlanta,Jun,0.86,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Atlanta,Jul,0.64,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Atlanta,Aug,0.64,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Atlanta,Sep,1.07,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Atlanta,Oct,1.29,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Atlanta,Nov,1.29,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Atlanta,Dec,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Charlotte,Jan,0.68,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Charlotte,Feb,0.81,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Charlotte,Mar,0.81,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Charlotte,Apr,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Charlotte,May,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Charlotte,Jun,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Charlotte,Jul,0.73,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Charlotte,Aug,0.72,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Charlotte,Sep,1.13,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Charlotte,Oct,1.34,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Charlotte,Nov,1.31,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Charlotte,Dec,1.13,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Denver,Jan,0.6,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Denver,Feb,0.45,multi-peak-directional,< 0.5x,0
Light Jet,New York City -> Denver,Mar,1.65,multi-peak-directional,>= 1.6x,5
Light Jet,New York City -> Denver,Apr,0.75,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Denver,May,1.05,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Denver,Jun,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Denver,Jul,0.9,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Denver,Aug,0.75,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Denver,Sep,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Denver,Oct,1.5,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Denver,Nov,0.9,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Denver,Dec,1.05,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,Jan,0.88,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Detroit,Feb,0.64,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Detroit,Mar,0.61,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Detroit,Apr,1.12,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,May,0.91,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Detroit,Jun,1.12,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,Jul,0.98,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Detroit,Aug,1.08,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,Sep,1.18,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,Oct,1.01,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Detroit,Nov,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Detroit,Dec,1.15,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Minneapolis,Jan,0.79,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Feb,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Mar,0.83,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Apr,0.66,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Minneapolis,May,1.49,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Minneapolis,Jun,1.12,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Minneapolis,Jul,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Aug,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Minneapolis,Sep,1.12,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Minneapolis,Oct,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Nov,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Minneapolis,Dec,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Nashville,Jan,0.47,multi-peak-directional,< 0.5x,0
Light Jet,New York City -> Nashville,Feb,0.94,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Nashville,Mar,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Nashville,Apr,1.07,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Nashville,May,1.49,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> Nashville,Jun,0.96,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Nashville,Jul,0.5,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> Nashville,Aug,1.07,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Nashville,Sep,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Nashville,Oct,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> Nashville,Nov,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> Nashville,Dec,1.35,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> North Florida,Jan,1.14,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> North Florida,Feb,0.72,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> North Florida,Mar,1.14,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> North Florida,Apr,1.38,multi-peak-directional,1.3x-1.6x,4
Light Jet,New York City -> North Florida,May,1.19,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> North Florida,Jun,1.01,multi-peak-directional,1.0x-1.3x,3
Light Jet,New York City -> North Florida,Jul,0.62,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> North Florida,Aug,0.51,multi-peak-directional,0.5x-0.7x,1
Light Jet,New York City -> North Florida,Sep,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> North Florida,Oct,0.97,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> North Florida,Nov,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,New York City -> North Florida,Dec,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Boston,Jan,0.84,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Boston,Feb,1.06,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Boston,Mar,0.93,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Boston,Apr,0.88,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Boston,May,1.5,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Boston,Jun,0.97,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Boston,Jul,1.1,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Boston,Aug,0.66,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Boston,Sep,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Boston,Oct,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Boston,Nov,0.71,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Boston,Dec,0.71,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Chicago,Jan,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Chicago,Feb,0.9,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Chicago,Mar,1.05,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Chicago,Apr,1.12,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Chicago,May,1.27,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Chicago,Jun,0.8,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Chicago,Jul,0.52,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Chicago,Aug,0.9,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Chicago,Sep,0.67,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Chicago,Oct,1.4,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Chicago,Nov,1.15,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Chicago,Dec,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,Jan,1.17,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,Feb,0.83,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Dallas,Mar,1.4,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Dallas,Apr,1.04,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,May,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,Jun,1.08,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,Jul,0.85,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Dallas,Aug,0.73,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Dallas,Sep,0.88,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Dallas,Oct,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Dallas,Nov,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Dallas,Dec,1.31,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Detroit,Jan,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Detroit,Feb,1.01,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Detroit,Mar,1.11,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Detroit,Apr,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Detroit,May,1.25,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Detroit,Jun,1.35,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Detroit,Jul,0.67,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Detroit,Aug,0.72,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Detroit,Sep,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Detroit,Oct,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Detroit,Nov,0.92,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Detroit,Dec,1.06,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Minneapolis,Jan,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Minneapolis,Feb,1.73,multi-peak-directional,>= 1.6x,5
Light Jet,North Florida -> Minneapolis,Mar,1.36,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Minneapolis,Apr,1.11,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Minneapolis,May,0.99,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Minneapolis,Jun,1.48,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Minneapolis,Jul,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Minneapolis,Aug,0.62,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Minneapolis,Sep,0.62,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Minneapolis,Oct,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Minneapolis,Nov,0.62,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Minneapolis,Dec,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> New York City,Jan,0.97,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> New York City,Feb,0.8,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> New York City,Mar,1.08,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> New York City,Apr,1.14,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> New York City,May,1.3,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> New York City,Jun,0.78,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> New York City,Jul,0.65,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> New York City,Aug,0.58,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> New York City,Sep,0.86,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> New York City,Oct,1.25,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> New York City,Nov,1.19,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> New York City,Dec,1.4,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Philadelphia,Jan,1.24,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Philadelphia,Feb,0.95,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Philadelphia,Mar,0.65,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Philadelphia,Apr,0.95,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Philadelphia,May,1.24,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Philadelphia,Jun,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Philadelphia,Jul,0.58,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> Philadelphia,Aug,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Philadelphia,Sep,0.87,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Philadelphia,Oct,1.38,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Philadelphia,Nov,1.09,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Philadelphia,Dec,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Pittsburgh,Jan,0.79,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Feb,1.05,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Pittsburgh,Mar,0.89,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Apr,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Pittsburgh,May,0.95,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Jun,0.74,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Jul,0.79,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Aug,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> Pittsburgh,Sep,0.74,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> Pittsburgh,Oct,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Pittsburgh,Nov,1.42,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> Pittsburgh,Dec,1.32,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> St. Louis,Jan,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> St. Louis,Feb,1.07,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,Mar,0.97,multi-peak-directional,0.7x-1.0x,2
Light Jet,North Florida -> St. Louis,Apr,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,May,1.03,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,Jun,1.03,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,Jul,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> St. Louis,Aug,0.56,multi-peak-directional,0.5x-0.7x,1
Light Jet,North Florida -> St. Louis,Sep,1.07,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,Oct,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,North Florida -> St. Louis,Nov,1.38,multi-peak-directional,1.3x-1.6x,4
Light Jet,North Florida -> St. Louis,Dec,1.19,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Atlanta,Jan,0.85,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Atlanta,Feb,0.31,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Atlanta,Mar,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Atlanta,Apr,1.92,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Atlanta,May,1.08,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Atlanta,Jun,1.54,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Atlanta,Jul,0.92,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Atlanta,Aug,0.38,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Atlanta,Sep,1.15,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Atlanta,Oct,1.31,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Atlanta,Nov,1.08,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Atlanta,Dec,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Chicago,Jan,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Chicago,Feb,0.51,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Chicago,Mar,0.97,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Chicago,Apr,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Chicago,May,0.88,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Chicago,Jun,1.34,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Chicago,Jul,0.69,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Chicago,Aug,1.16,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Chicago,Sep,1.3,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Chicago,Oct,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Chicago,Nov,1.3,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Chicago,Dec,1.11,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Dallas,Jan,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Dallas,Feb,0.6,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Dallas,Mar,0.2,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Dallas,Apr,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Dallas,May,2.0,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Dallas,Jun,0.2,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Dallas,Jul,0.6,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Dallas,Aug,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Dallas,Sep,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Dallas,Oct,1.8,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Dallas,Nov,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Dallas,Dec,2.6,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Detroit,Jan,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Detroit,Feb,1.53,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Detroit,Mar,0.51,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Detroit,Apr,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Detroit,May,1.28,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Detroit,Jun,1.79,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Detroit,Jul,1.53,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Detroit,Aug,0.51,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Detroit,Sep,0.26,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Detroit,Oct,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Detroit,Nov,1.53,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Detroit,Dec,0.77,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Houston,Jan,1.6,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Houston,Feb,1.2,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Houston,Mar,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Houston,Apr,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Houston,May,0.8,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Houston,Jun,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Houston,Jul,0.8,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Houston,Aug,2.8,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Houston,Sep,0.8,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Houston,Oct,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Houston,Nov,2.0,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Houston,Dec,0.4,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Minneapolis,Jan,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Minneapolis,Feb,0.81,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Minneapolis,Mar,0.81,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Minneapolis,Apr,0.41,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Minneapolis,May,1.83,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Minneapolis,Jun,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Minneapolis,Jul,1.22,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Minneapolis,Aug,0.61,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Minneapolis,Sep,1.22,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Minneapolis,Oct,1.02,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Minneapolis,Nov,0.61,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Minneapolis,Dec,1.42,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Nashville,Jan,0.67,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Nashville,Feb,1.22,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Nashville,Mar,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Nashville,Apr,1.22,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Nashville,May,2.33,multi-peak-directional,>= 1.6x,5
Light Jet,Philadelphia -> Nashville,Jun,0.78,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> Nashville,Jul,0.67,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Nashville,Aug,1.22,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> Nashville,Sep,0.44,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> Nashville,Oct,0.67,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> Nashville,Nov,1.33,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> Nashville,Dec,0.44,multi-peak-directional,< 0.5x,0
Light Jet,Philadelphia -> North Florida,Jan,1.3,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> North Florida,Feb,0.95,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> North Florida,Mar,0.83,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> North Florida,Apr,1.24,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> North Florida,May,1.18,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> North Florida,Jun,1.0,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> North Florida,Jul,0.53,multi-peak-directional,0.5x-0.7x,1
Light Jet,Philadelphia -> North Florida,Aug,0.71,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> North Florida,Sep,1.06,multi-peak-directional,1.0x-1.3x,3
Light Jet,Philadelphia -> North Florida,Oct,0.95,multi-peak-directional,0.7x-1.0x,2
Light Jet,Philadelphia -> North Florida,Nov,1.42,multi-peak-directional,1.3x-1.6x,4
Light Jet,Philadelphia -> North Florida,Dec,0.83,multi-peak-directional,0.7x-1.0x,2
Light Jet,Phoenix Valley -> Chicago,Jan,0.52,multi-peak-directional,0.5x-0.7x,1
Light Jet,Phoenix Valley -> Chicago,Feb,1.33,multi-peak-directional,1.3x-1.6x,4
Light Jet,Phoenix Valley -> Chicago,Mar,1.25,multi-peak-directional,1.0x-1.3x,3
Light Jet,Phoenix Valley -> Chicago,Apr,1.33,multi-peak-directional,1.3x-1.6x,4
Light Jet,Phoenix Valley -> Chicago,May,1.47,multi-peak-directional,1.3x-1.6x,4
Light Jet,Phoenix Valley -> Chicago,Jun,1.03,multi-peak-directional,1.0x-1.3x,3
Light Jet,Phoenix Valley -> Chicago,Jul,0.44,multi-peak-directional,< 0.5x,0
Light Jet,Phoenix Valley -> Chicago,Aug,0.66,multi-peak-directional,0.5x-0.7x,1
Light Jet,Phoenix Valley -> Chicago,Sep,0.81,multi-peak-directional,0.7x-1.0x,2
Light Jet,Phoenix Valley -> Chicago,Oct,1.18,multi-peak-directional,1.0x-1.3x,3
Light Jet,Phoenix Valley -> Chicago,Nov,1.25,multi-peak-directional,1.0x-1.3x,3
Light Jet,Phoenix Valley -> Chicago,Dec,0.74,multi-peak-directional,0.7x-1.0x,2
Light Jet,Phoenix Valley -> Houston,Jan,0.64,multi-peak-directional,0.5x-0.7x,1
Light Jet,Phoenix Valley -> Houston,Feb,1.35,multi-peak-directional,1.3x-1.6x,4
