AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,Bay Area -> St. Louis,Mar,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Bay Area -> St. Louis,Apr,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Bay Area -> St. Louis,May,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Bay Area -> St. Louis,Jun,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Bay Area -> St. Louis,Jul,1.01,core-utilization,1.0x-1.3x,3
Light Jet,Bay Area -> St. Louis,Aug,1.3,core-utilization,1.3x-1.6x,4
Light Jet,Bay Area -> St. Louis,Sep,1.59,core-utilization,1.3x-1.6x,4
Light Jet,Bay Area -> St. Louis,Oct,1.59,core-utilization,1.3x-1.6x,4
Light Jet,Bay Area -> St. Louis,Nov,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Bay Area -> St. Louis,Dec,0.43,core-utilization,< 0.5x,0
Light Jet,Boston -> Atlanta,Jan,0.36,core-utilization,< 0.5x,0
Light Jet,Boston -> Atlanta,Feb,0.36,core-utilization,< 0.5x,0
Light Jet,Boston -> Atlanta,Mar,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Atlanta,Apr,0.72,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Atlanta,May,1.08,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Atlanta,Jun,1.44,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Atlanta,Jul,1.23,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Atlanta,Aug,1.44,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Atlanta,Sep,1.79,core-utilization,>= 1.6x,5
Light Jet,Boston -> Atlanta,Oct,1.08,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Atlanta,Nov,1.23,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Atlanta,Dec,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Charlotte,Jan,0.43,core-utilization,< 0.5x,0
Light Jet,Boston -> Charlotte,Feb,0.55,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Charlotte,Mar,0.72,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Charlotte,Apr,0.91,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Charlotte,May,1.27,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Charlotte,Jun,1.01,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Charlotte,Jul,1.44,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Charlotte,Aug,1.2,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Charlotte,Sep,1.25,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Charlotte,Oct,1.41,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Charlotte,Nov,1.01,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Charlotte,Dec,0.81,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Chicago,Jan,0.43,core-utilization,< 0.5x,0
Light Jet,Boston -> Chicago,Feb,0.56,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Chicago,Mar,0.54,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Chicago,Apr,0.49,core-utilization,< 0.5x,0
Light Jet,Boston -> Chicago,May,1.26,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Chicago,Jun,1.01,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Chicago,Jul,1.42,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Chicago,Aug,1.37,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Chicago,Sep,1.78,core-utilization,>= 1.6x,5
Light Jet,Boston -> Chicago,Oct,1.37,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Chicago,Nov,1.01,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Chicago,Dec,0.76,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Jan,0.52,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Dallas,Feb,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Mar,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Apr,0.52,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Dallas,May,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Jun,0.7,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Jul,0.87,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Aug,1.91,core-utilization,>= 1.6x,5
Light Jet,Boston -> Dallas,Sep,1.91,core-utilization,>= 1.6x,5
Light Jet,Boston -> Dallas,Oct,1.74,core-utilization,>= 1.6x,5
Light Jet,Boston -> Dallas,Nov,0.7,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Dallas,Dec,0.52,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> Houston,Jan,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Houston,Feb,1.02,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Houston,Mar,0.26,core-utilization,< 0.5x,0
Light Jet,Boston -> Houston,Apr,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Houston,May,0.26,core-utilization,< 0.5x,0
Light Jet,Boston -> Houston,Jun,1.53,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> Houston,Jul,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Houston,Aug,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Houston,Sep,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> Houston,Oct,1.79,core-utilization,>= 1.6x,5
Light Jet,Boston -> Houston,Nov,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> Houston,Dec,1.02,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> St. Louis,Jan,0.72,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> St. Louis,Feb,0.36,core-utilization,< 0.5x,0
Light Jet,Boston -> St. Louis,Mar,0.66,core-utilization,0.5x-0.7x,1
Light Jet,Boston -> St. Louis,Apr,0.96,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> St. Louis,May,0.9,core-utilization,0.7x-1.0x,2
Light Jet,Boston -> St. Louis,Jun,1.02,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> St. Louis,Jul,1.08,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> St. Louis,Aug,1.44,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> St. Louis,Sep,1.38,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> St. Louis,Oct,1.56,core-utilization,1.3x-1.6x,4
Light Jet,Boston -> St. Louis,Nov,1.26,core-utilization,1.0x-1.3x,3
Light Jet,Boston -> St. Louis,Dec,0.66,core-utilization,0.5x-0.7x,1
Light Jet,Charlotte -> Detroit,Jan,0.34,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Detroit,Feb,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Charlotte -> Detroit,Mar,1.11,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> Detroit,Apr,0.86,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Detroit,May,0.86,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Detroit,Jun,1.03,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> Detroit,Jul,1.54,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Detroit,Aug,0.6,core-utilization,0.5x-0.7x,1
Light Jet,Charlotte -> Detroit,Sep,1.46,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Detroit,Oct,1.2,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> Detroit,Nov,1.54,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Detroit,Dec,0.94,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Jan,0.76,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Feb,0.32,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Minneapolis,Mar,0.97,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Apr,0.76,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,May,0.76,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Jun,1.84,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Minneapolis,Jul,1.3,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Minneapolis,Aug,1.3,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Minneapolis,Sep,0.86,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Oct,1.3,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Minneapolis,Nov,0.97,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Minneapolis,Dec,0.86,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> New York City,Jan,0.56,core-utilization,0.5x-0.7x,1
Light Jet,Charlotte -> New York City,Feb,0.65,core-utilization,0.5x-0.7x,1
Light Jet,Charlotte -> New York City,Mar,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> New York City,Apr,1.13,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> New York City,May,1.07,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> New York City,Jun,1.34,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> New York City,Jul,0.92,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> New York City,Aug,0.94,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> New York City,Sep,1.19,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> New York City,Oct,1.46,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> New York City,Nov,1.13,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> New York City,Dec,0.84,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Philadelphia,Jan,0.0,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Philadelphia,Feb,0.0,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Philadelphia,Mar,0.71,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Philadelphia,Apr,1.76,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Philadelphia,May,0.71,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Philadelphia,Jun,3.18,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Philadelphia,Jul,0.35,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Philadelphia,Aug,0.35,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Philadelphia,Sep,2.47,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Philadelphia,Oct,0.35,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Philadelphia,Nov,1.41,core-utilization,1.3x-1.6x,4
Light Jet,Charlotte -> Philadelphia,Dec,0.71,core-utilization,0.7x-1.0x,2
Light Jet,Charlotte -> Pittsburgh,Jan,0.0,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Feb,0.41,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Mar,0.0,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Apr,2.48,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Pittsburgh,May,1.66,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Pittsburgh,Jun,1.66,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Pittsburgh,Jul,0.41,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Aug,1.24,core-utilization,1.0x-1.3x,3
Light Jet,Charlotte -> Pittsburgh,Sep,0.41,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Oct,2.48,core-utilization,>= 1.6x,5
Light Jet,Charlotte -> Pittsburgh,Nov,0.41,core-utilization,< 0.5x,0
Light Jet,Charlotte -> Pittsburgh,Dec,0.83,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Boston,Jan,0.47,core-utilization,< 0.5x,0
Light Jet,Chicago -> Boston,Feb,0.42,core-utilization,< 0.5x,0
Light Jet,Chicago -> Boston,Mar,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Boston,Apr,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> Boston,May,1.28,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Boston,Jun,1.19,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Boston,Jul,1.35,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Boston,Aug,1.53,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Boston,Sep,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Boston,Oct,1.65,core-utilization,>= 1.6x,5
Light Jet,Chicago -> Boston,Nov,1.19,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Boston,Dec,0.74,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Charlotte,Jan,0.31,core-utilization,< 0.5x,0
Light Jet,Chicago -> Charlotte,Feb,0.46,core-utilization,< 0.5x,0
Light Jet,Chicago -> Charlotte,Mar,0.81,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Charlotte,Apr,1.02,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Charlotte,May,1.32,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Charlotte,Jun,1.32,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Charlotte,Jul,1.37,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> Charlotte,Aug,0.92,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> Charlotte,Sep,1.32,core-utilization,1.3x-1.6x,4
