corridor,month,seasonality_index,cluster_label,slab,intensity
Boston -> Atlanta,Jan,0.36,core-utilization,< 0.5x,0
Boston -> Atlanta,Feb,0.36,core-utilization,< 0.5x,0
Boston -> Atlanta,Mar,0.51,core-utilization,0.5x-0.7x,1
Boston -> Atlanta,Apr,0.72,core-utilization,0.7x-1.0x,2
Boston -> Atlanta,May,1.08,core-utilization,1.0x-1.3x,3
Boston -> Atlanta,Jun,1.44,core-utilization,1.3x-1.6x,4
Boston -> Atlanta,Jul,1.23,core-utilization,1.0x-1.3x,3
Boston -> Atlanta,Aug,1.44,core-utilization,1.3x-1.6x,4
Boston -> Atlanta,Sep,1.79,core-utilization,>= 1.6x,5
Boston -> Atlanta,Oct,1.08,core-utilization,1.0x-1.3x,3
Boston -> Atlanta,Nov,1.23,core-utilization,1.0x-1.3x,3
Boston -> Atlanta,Dec,0.77,core-utilization,0.7x-1.0x,2
Boston -> Charlotte,Jan,0.43,core-utilization,< 0.5x,0
Boston -> Charlotte,Feb,0.55,core-utilization,0.5x-0.7x,1
Boston -> Charlotte,Mar,0.72,core-utilization,0.7x-1.0x,2
Boston -> Charlotte,Apr,0.91,core-utilization,0.7x-1.0x,2
Boston -> Charlotte,May,1.27,core-utilization,1.0x-1.3x,3
Boston -> Charlotte,Jun,1.01,core-utilization,1.0x-1.3x,3
Boston -> Charlotte,Jul,1.44,core-utilization,1.3x-1.6x,4
Boston -> Charlotte,Aug,1.2,core-utilization,1.0x-1.3x,3
Boston -> Charlotte,Sep,1.25,core-utilization,1.0x-1.3x,3
Boston -> Charlotte,Oct,1.41,core-utilization,1.3x-1.6x,4
Boston -> Charlotte,Nov,1.01,core-utilization,1.0x-1.3x,3
Boston -> Charlotte,Dec,0.81,core-utilization,0.7x-1.0x,2
Boston -> Chicago,Jan,0.43,core-utilization,< 0.5x,0
Boston -> Chicago,Feb,0.56,core-utilization,0.5x-0.7x,1
Boston -> Chicago,Mar,0.54,core-utilization,0.5x-0.7x,1
Boston -> Chicago,Apr,0.49,core-utilization,< 0.5x,0
Boston -> Chicago,May,1.26,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Jun,1.01,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Jul,1.42,core-utilization,1.3x-1.6x,4
Boston -> Chicago,Aug,1.37,core-utilization,1.3x-1.6x,4
Boston -> Chicago,Sep,1.78,core-utilization,>= 1.6x,5
Boston -> Chicago,Oct,1.37,core-utilization,1.3x-1.6x,4
Boston -> Chicago,Nov,1.01,core-utilization,1.0x-1.3x,3
Boston -> Chicago,Dec,0.76,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Jan,0.52,core-utilization,0.5x-0.7x,1
Boston -> Dallas,Feb,0.87,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Mar,0.87,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Apr,0.52,core-utilization,0.5x-0.7x,1
Boston -> Dallas,May,0.87,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Jun,0.7,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Jul,0.87,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Aug,1.91,core-utilization,>= 1.6x,5
Boston -> Dallas,Sep,1.91,core-utilization,>= 1.6x,5
Boston -> Dallas,Oct,1.74,core-utilization,>= 1.6x,5
Boston -> Dallas,Nov,0.7,core-utilization,0.7x-1.0x,2
Boston -> Dallas,Dec,0.52,core-utilization,0.5x-0.7x,1
Boston -> Houston,Jan,1.28,core-utilization,1.0x-1.3x,3
Boston -> Houston,Feb,1.02,core-utilization,1.0x-1.3x,3
Boston -> Houston,Mar,0.26,core-utilization,< 0.5x,0
Boston -> Houston,Apr,0.77,core-utilization,0.7x-1.0x,2
Boston -> Houston,May,0.26,core-utilization,< 0.5x,0
Boston -> Houston,Jun,1.53,core-utilization,1.3x-1.6x,4
Boston -> Houston,Jul,0.77,core-utilization,0.7x-1.0x,2
Boston -> Houston,Aug,1.28,core-utilization,1.0x-1.3x,3
Boston -> Houston,Sep,0.77,core-utilization,0.7x-1.0x,2
Boston -> Houston,Oct,1.79,core-utilization,>= 1.6x,5
Boston -> Houston,Nov,1.28,core-utilization,1.0x-1.3x,3
Boston -> Houston,Dec,1.02,core-utilization,1.0x-1.3x,3
Boston -> St. Louis,Jan,0.72,core-utilization,0.7x-1.0x,2
Boston -> St. Louis,Feb,0.36,core-utilization,< 0.5x,0
Boston -> St. Louis,Mar,0.66,core-utilization,0.5x-0.7x,1
Boston -> St. Louis,Apr,0.96,core-utilization,0.7x-1.0x,2
Boston -> St. Louis,May,0.9,core-utilization,0.7x-1.0x,2
Boston -> St. Louis,Jun,1.02,core-utilization,1.0x-1.3x,3
Boston -> St. Louis,Jul,1.08,core-utilization,1.0x-1.3x,3
Boston -> St. Louis,Aug,1.44,core-utilization,1.3x-1.6x,4
Boston -> St. Louis,Sep,1.38,core-utilization,1.3x-1.6x,4
Boston -> St. Louis,Oct,1.56,core-utilization,1.3x-1.6x,4
Boston -> St. Louis,Nov,1.26,core-utilization,1.0x-1.3x,3
Boston -> St. Louis,Dec,0.66,core-utilization,0.5x-0.7x,1
Charlotte -> Detroit,Jan,0.34,core-utilization,< 0.5x,0
Charlotte -> Detroit,Feb,0.51,core-utilization,0.5x-0.7x,1
Charlotte -> Detroit,Mar,1.11,core-utilization,1.0x-1.3x,3
Charlotte -> Detroit,Apr,0.86,core-utilization,0.7x-1.0x,2
Charlotte -> Detroit,May,0.86,core-utilization,0.7x-1.0x,2
Charlotte -> Detroit,Jun,1.03,core-utilization,1.0x-1.3x,3
Charlotte -> Detroit,Jul,1.54,core-utilization,1.3x-1.6x,4
Charlotte -> Detroit,Aug,0.6,core-utilization,0.5x-0.7x,1
Charlotte -> Detroit,Sep,1.46,core-utilization,1.3x-1.6x,4
Charlotte -> Detroit,Oct,1.2,core-utilization,1.0x-1.3x,3
Charlotte -> Detroit,Nov,1.54,core-utilization,1.3x-1.6x,4
Charlotte -> Detroit,Dec,0.94,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Jan,0.76,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Feb,0.32,core-utilization,< 0.5x,0
Charlotte -> Minneapolis,Mar,0.97,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Apr,0.76,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,May,0.76,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Jun,1.84,core-utilization,>= 1.6x,5
Charlotte -> Minneapolis,Jul,1.3,core-utilization,1.3x-1.6x,4
Charlotte -> Minneapolis,Aug,1.3,core-utilization,1.3x-1.6x,4
Charlotte -> Minneapolis,Sep,0.86,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Oct,1.3,core-utilization,1.3x-1.6x,4
Charlotte -> Minneapolis,Nov,0.97,core-utilization,0.7x-1.0x,2
Charlotte -> Minneapolis,Dec,0.86,core-utilization,0.7x-1.0x,2
Charlotte -> New York City,Jan,0.56,core-utilization,0.5x-0.7x,1
Charlotte -> New York City,Feb,0.65,core-utilization,0.5x-0.7x,1
Charlotte -> New York City,Mar,0.77,core-utilization,0.7x-1.0x,2
Charlotte -> New York City,Apr,1.13,core-utilization,1.0x-1.3x,3
Charlotte -> New York City,May,1.07,core-utilization,1.0x-1.3x,3
Charlotte -> New York City,Jun,1.34,core-utilization,1.3x-1.6x,4
Charlotte -> New York City,Jul,0.92,core-utilization,0.7x-1.0x,2
Charlotte -> New York City,Aug,0.94,core-utilization,0.7x-1.0x,2
Charlotte -> New York City,Sep,1.19,core-utilization,1.0x-1.3x,3
Charlotte -> New York City,Oct,1.46,core-utilization,1.3x-1.6x,4
Charlotte -> New York City,Nov,1.13,core-utilization,1.0x-1.3x,3
Charlotte -> New York City,Dec,0.84,core-utilization,0.7x-1.0x,2
Charlotte -> Philadelphia,Jan,0.0,core-utilization,< 0.5x,0
Charlotte -> Philadelphia,Feb,0.0,core-utilization,< 0.5x,0
Charlotte -> Philadelphia,Mar,0.71,core-utilization,0.7x-1.0x,2
Charlotte -> Philadelphia,Apr,1.76,core-utilization,>= 1.6x,5
Charlotte -> Philadelphia,May,0.71,core-utilization,0.7x-1.0x,2
Charlotte -> Philadelphia,Jun,3.18,core-utilization,>= 1.6x,5
Charlotte -> Philadelphia,Jul,0.35,core-utilization,< 0.5x,0
Charlotte -> Philadelphia,Aug,0.35,core-utilization,< 0.5x,0
Charlotte -> Philadelphia,Sep,2.47,core-utilization,>= 1.6x,5
Charlotte -> Philadelphia,Oct,0.35,core-utilization,< 0.5x,0
Charlotte -> Philadelphia,Nov,1.41,core-utilization,1.3x-1.6x,4
Charlotte -> Philadelphia,Dec,0.71,core-utilization,0.7x-1.0x,2
Charlotte -> Pittsburgh,Jan,0.0,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Feb,0.41,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Mar,0.0,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Apr,2.48,core-utilization,>= 1.6x,5
Charlotte -> Pittsburgh,May,1.66,core-utilization,>= 1.6x,5
Charlotte -> Pittsburgh,Jun,1.66,core-utilization,>= 1.6x,5
Charlotte -> Pittsburgh,Jul,0.41,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Aug,1.24,core-utilization,1.0x-1.3x,3
Charlotte -> Pittsburgh,Sep,0.41,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Oct,2.48,core-utilization,>= 1.6x,5
Charlotte -> Pittsburgh,Nov,0.41,core-utilization,< 0.5x,0
Charlotte -> Pittsburgh,Dec,0.83,core-utilization,0.7x-1.0x,2
Chicago -> Boston,Jan,0.47,core-utilization,< 0.5x,0
Chicago -> Boston,Feb,0.42,core-utilization,< 0.5x,0
Chicago -> Boston,Mar,0.51,core-utilization,0.5x-0.7x,1
Chicago -> Boston,Apr,0.51,core-utilization,0.5x-0.7x,1
Chicago -> Boston,May,1.28,core-utilization,1.0x-1.3x,3
Chicago -> Boston,Jun,1.19,core-utilization,1.0x-1.3x,3
Chicago -> Boston,Jul,1.35,core-utilization,1.3x-1.6x,4
Chicago -> Boston,Aug,1.53,core-utilization,1.3x-1.6x,4
Chicago -> Boston,Sep,1.16,core-utilization,1.0x-1.3x,3
Chicago -> Boston,Oct,1.65,core-utilization,>= 1.6x,5
Chicago -> Boston,Nov,1.19,core-utilization,1.0x-1.3x,3
Chicago -> Boston,Dec,0.74,core-utilization,0.7x-1.0x,2
Chicago -> Charlotte,Jan,0.31,core-utilization,< 0.5x,0
Chicago -> Charlotte,Feb,0.46,core-utilization,< 0.5x,0
Chicago -> Charlotte,Mar,0.81,core-utilization,0.7x-1.0x,2
Chicago -> Charlotte,Apr,1.02,core-utilization,1.0x-1.3x,3
Chicago -> Charlotte,May,1.32,core-utilization,1.3x-1.6x,4
Chicago -> Charlotte,Jun,1.32,core-utilization,1.3x-1.6x,4
Chicago -> Charlotte,Jul,1.37,core-utilization,1.3x-1.6x,4
Chicago -> Charlotte,Aug,0.92,core-utilization,0.7x-1.0x,2
Chicago -> Charlotte,Sep,1.32,core-utilization,1.3x-1.6x,4
Chicago -> Charlotte,Oct,1.07,core-utilization,1.0x-1.3x,3
Chicago -> Charlotte,Nov,1.07,core-utilization,1.0x-1.3x,3
Chicago -> Charlotte,Dec,1.02,core-utilization,1.0x-1.3x,3
Chicago -> DMV,Jan,0.45,core-utilization,< 0.5x,0
Chicago -> DMV,Feb,0.39,core-utilization,< 0.5x,0
Chicago -> DMV,Mar,0.32,core-utilization,< 0.5x,0
Chicago -> DMV,Apr,1.16,core-utilization,1.0x-1.3x,3
Chicago -> DMV,May,1.03,core-utilization,1.0x-1.3x,3
Chicago -> DMV,Jun,2.06,core-utilization,>= 1.6x,5
Chicago -> DMV,Jul,1.35,core-utilization,1.3x-1.6x,4
Chicago -> DMV,Aug,0.77,core-utilization,0.7x-1.0x,2
Chicago -> DMV,Sep,1.61,core-utilization,>= 1.6x,5
Chicago -> DMV,Oct,1.35,core-utilization,1.3x-1.6x,4
Chicago -> DMV,Nov,0.65,core-utilization,0.5x-0.7x,1
Chicago -> DMV,Dec,0.84,core-utilization,0.7x-1.0x,2
Chicago -> LA Basin,Jan,0.34,core-utilization,< 0.5x,0
Chicago -> LA Basin,Feb,0.51,core-utilization,0.5x-0.7x,1
Chicago -> LA Basin,Mar,1.18,core-utilization,1.0x-1.3x,3
Chicago -> LA Basin,Apr,0.68,core-utilization,0.5x-0.7x,1
Chicago -> LA Basin,May,1.35,core-utilization,1.3x-1.6x,4
Chicago -> LA Basin,Jun,1.18,core-utilization,1.0x-1.3x,3
Chicago -> LA Basin,Jul,0.34,core-utilization,< 0.5x,0
Chicago -> LA Basin,Aug,1.18,core-utilization,1.0x-1.3x,3
Chicago -> LA Basin,Sep,1.69,core-utilization,>= 1.6x,5
Chicago -> LA Basin,Oct,1.18,core-utilization,1.0x-1.3x,3
Chicago -> LA Basin,Nov,1.86,core-utilization,>= 1.6x,5
Chicago -> LA Basin,Dec,0.51,core-utilization,0.5x-0.7x,1
Chicago -> New York City,Jan,0.6,core-utilization,0.5x-0.7x,1
Chicago -> New York City,Feb,0.64,core-utilization,0.5x-0.7x,1
Chicago -> New York City,Mar,0.75,core-utilization,0.7x-1.0x,2
Chicago -> New York City,Apr,0.82,core-utilization,0.7x-1.0x,2
Chicago -> New York City,May,1.22,core-utilization,1.0x-1.3x,3
Chicago -> New York City,Jun,1.31,core-utilization,1.3x-1.6x,4
Chicago -> New York City,Jul,0.99,core-utilization,0.7x-1.0x,2
Chicago -> New York City,Aug,1.07,core-utilization,1.0x-1.3x,3
Chicago -> New York City,Sep,1.39,core-utilization,1.3x-1.6x,4
Chicago -> New York City,Oct,1.35,core-utilization,1.3x-1.6x,4
Chicago -> New York City,Nov,1.11,core-utilization,1.0x-1.3x,3
Chicago -> New York City,Dec,0.75,core-utilization,0.7x-1.0x,2
Chicago -> Philadelphia,Jan,0.27,core-utilization,< 0.5x,0
Chicago -> Philadelphia,Feb,0.48,core-utilization,< 0.5x,0
Chicago -> Philadelphia,Mar,0.89,core-utilization,0.7x-1.0x,2
Chicago -> Philadelphia,Apr,0.82,core-utilization,0.7x-1.0x,2
Chicago -> Philadelphia,May,1.17,core-utilization,1.0x-1.3x,3
Chicago -> Philadelphia,Jun,1.17,core-utilization,1.0x-1.3x,3
Chicago -> Philadelphia,Jul,0.82,core-utilization,0.7x-1.0x,2
Chicago -> Philadelphia,Aug,1.71,core-utilization,>= 1.6x,5
Chicago -> Philadelphia,Sep,1.65,core-utilization,>= 1.6x,5
Chicago -> Philadelphia,Oct,1.23,core-utilization,1.0x-1.3x,3
Chicago -> Philadelphia,Nov,1.17,core-utilization,1.0x-1.3x,3
Chicago -> Philadelphia,Dec,0.62,core-utilization,0.5x-0.7x,1
Chicago -> Seattle,Jan,0.58,core-utilization,0.5x-0.7x,1
Chicago -> Seattle,Feb,0.43,core-utilization,< 0.5x,0
Chicago -> Seattle,Mar,0.43,core-utilization,< 0.5x,0
Chicago -> Seattle,Apr,1.16,core-utilization,1.0x-1.3x,3
Chicago -> Seattle,May,0.87,core-utilization,0.7x-1.0x,2
Chicago -> Seattle,Jun,0.58,core-utilization,0.5x-0.7x,1
Chicago -> Seattle,Jul,1.3,core-utilization,1.3x-1.6x,4
Chicago -> Seattle,Aug,1.88,core-utilization,>= 1.6x,5
Chicago -> Seattle,Sep,1.16,core-utilization,1.0x-1.3x,3
Chicago -> Seattle,Oct,2.17,core-utilization,>= 1.6x,5
Chicago -> Seattle,Nov,0.58,core-utilization,0.5x-0.7x,1
Chicago -> Seattle,Dec,0.87,core-utilization,0.7x-1.0x,2
DMV -> Boston,Jan,0.32,core-utilization,< 0.5x,0
DMV -> Boston,Feb,1.3,core-utilization,1.3x-1.6x,4
DMV -> Boston,Mar,0.0,core-utilization,< 0.5x,0
DMV -> Boston,Apr,0.97,core-utilization,0.7x-1.0x,2
DMV -> Boston,May,0.65,core-utilization,0.5x-0.7x,1
DMV -> Boston,Jun,1.3,core-utilization,1.3x-1.6x,4
DMV -> Boston,Jul,1.3,core-utilization,1.3x-1.6x,4
DMV -> Boston,Aug,2.27,core-utilization,>= 1.6x,5
DMV -> Boston,Sep,1.3,core-utilization,1.3x-1.6x,4
DMV -> Boston,Oct,2.59,core-utilization,>= 1.6x,5
DMV -> Boston,Nov,0.0,core-utilization,< 0.5x,0
DMV -> Boston,Dec,0.0,core-utilization,< 0.5x,0
DMV -> Minneapolis,Jan,1.15,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,Feb,0.44,core-utilization,< 0.5x,0
DMV -> Minneapolis,Mar,0.35,core-utilization,< 0.5x,0
DMV -> Minneapolis,Apr,1.15,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,May,1.24,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,Jun,1.41,core-utilization,1.3x-1.6x,4
DMV -> Minneapolis,Jul,1.06,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,Aug,1.15,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,Sep,1.41,core-utilization,1.3x-1.6x,4
DMV -> Minneapolis,Oct,1.06,core-utilization,1.0x-1.3x,3
DMV -> Minneapolis,Nov,0.97,core-utilization,0.7x-1.0x,2
DMV -> Minneapolis,Dec,0.62,core-utilization,0.5x-0.7x,1
DMV -> San Antonio,Jan,0.24,core-utilization,< 0.5x,0
DMV -> San Antonio,Feb,1.47,core-utilization,1.3x-1.6x,4
DMV -> San Antonio,Mar,0.0,core-utilization,< 0.5x,0
DMV -> San Antonio,Apr,1.22,core-utilization,1.0x-1.3x,3
DMV -> San Antonio,May,1.22,core-utilization,1.0x-1.3x,3
DMV -> San Antonio,Jun,1.96,core-utilization,>= 1.6x,5
DMV -> San Antonio,Jul,0.49,core-utilization,< 0.5x,0
DMV -> San Antonio,Aug,0.73,core-utilization,0.7x-1.0x,2
DMV -> San Antonio,Sep,1.22,core-utilization,1.0x-1.3x,3
DMV -> San Antonio,Oct,1.47,core-utilization,1.3x-1.6x,4
DMV -> San Antonio,Nov,1.22,core-utilization,1.0x-1.3x,3
DMV -> San Antonio,Dec,0.73,core-utilization,0.7x-1.0x,2
Dallas -> Boston,Jan,0.7,core-utilization,0.7x-1.0x,2
Dallas -> Boston,Feb,0.28,core-utilization,< 0.5x,0
Dallas -> Boston,Mar,0.98,core-utilization,0.7x-1.0x,2
Dallas -> Boston,Apr,0.56,core-utilization,0.5x-0.7x,1
Dallas -> Boston,May,0.98,core-utilization,0.7x-1.0x,2
Dallas -> Boston,Jun,1.95,core-utilization,>= 1.6x,5
Dallas -> Boston,Jul,1.4,core-utilization,1.3x-1.6x,4
Dallas -> Boston,Aug,1.53,core-utilization,1.3x-1.6x,4
Dallas -> Boston,Sep,1.12,core-utilization,1.0x-1.3x,3
Dallas -> Boston,Oct,1.26,core-utilization,1.0x-1.3x,3
Dallas -> Boston,Nov,0.84,core-utilization,0.7x-1.0x,2
Dallas -> Boston,Dec,0.42,core-utilization,< 0.5x,0
Dallas -> Minneapolis,Jan,0.53,core-utilization,0.5x-0.7x,1
Dallas -> Minneapolis,Feb,0.44,core-utilization,< 0.5x,0
